nm,n,k,wl
192.414993,1.11126,1.206218,0.192414993
194.001999,1.115666,1.212659,0.194001999
195.589081,1.120127,1.219019,0.195589081
197.176178,1.124644,1.225294,0.197176178
198.763351,1.12922,1.231478,0.198763351
200.350571,1.133855,1.237567,0.200350571
201.937836,1.138549,1.243554,0.201937836
203.525162,1.143304,1.249436,0.203525162
205.112518,1.14812,1.255206,0.205112518
206.699921,1.152997,1.260859,0.206699921
208.287399,1.157935,1.26639,0.208287399
209.874908,1.162934,1.271792,0.209874908
211.462448,1.167993,1.277061,0.211462448
213.050049,1.173111,1.282189,0.213050049
214.637695,1.178288,1.287173,0.214637695
216.225388,1.183523,1.292006,0.216225388
217.813141,1.188813,1.296683,0.217813141
219.400925,1.194159,1.301198,0.219400925
220.98877,1.199558,1.305545,0.22098877
222.57663,1.205009,1.309719,0.22257663
224.164581,1.210509,1.313716,0.224164581
225.752533,1.216058,1.317528,0.225752533
227.340546,1.221654,1.321153,0.227340546
228.928619,1.227296,1.324583,0.228928619
230.516693,1.23298,1.327815,0.230516693
232.104858,1.238708,1.330843,0.232104858
233.693039,1.244477,1.333662,0.233693039
235.281281,1.250286,1.336267,0.235281281
236.869537,1.256135,1.338653,0.236869537
238.457855,1.262025,1.340816,0.238457855
240.046219,1.267955,1.342749,0.240046219
241.634598,1.273927,1.344446,0.241634598
243.223053,1.279943,1.345903,0.243223053
244.811523,1.286005,1.347113,0.244811523
246.400055,1.292117,1.348068,0.246400055
247.988602,1.298282,1.348761,0.247988602
249.577194,1.304507,1.349182,0.249577194
251.165848,1.310798,1.349323,0.251165848
252.754517,1.317163,1.349171,0.252754517
254.343231,1.32361,1.348713,0.254343231
255.932007,1.33015,1.347934,0.255932007
257.520813,1.336795,1.346814,0.257520813
259.10965,1.343558,1.345334,0.25910965
260.698517,1.350452,1.343468,0.260698517
262.287415,1.357494,1.341188,0.262287415
263.876373,1.3647,1.338458,0.263876373
265.465363,1.372087,1.335239,0.265465363
267.054382,1.379672,1.331483,0.267054382
268.643433,1.387474,1.327137,0.268643433
270.232513,1.395507,1.322136,0.270232513
271.821655,1.403787,1.316406,0.271821655
273.410828,1.412325,1.309859,0.273410828
275.000031,1.421126,1.302397,0.275000031
276.589264,1.430187,1.293905,0.276589264
278.178528,1.439496,1.28425,0.278178528
279.767822,1.449027,1.273285,0.279767822
281.357147,1.458731,1.260839,0.281357147
282.946533,1.468538,1.246724,0.282946533
284.53595,1.478342,1.230733,0.28453595
286.125366,1.487998,1.212642,0.286125366
287.714844,1.49731,1.192213,0.287714844
289.304352,1.506018,1.169203,0.289304352
290.89386,1.513791,1.143373,0.29089386
292.483459,1.520216,1.114507,0.292483459
294.073029,1.524785,1.082432,0.294073029
295.662659,1.5269,1.047041,0.295662659
297.252319,1.525873,1.008335,0.297252319
298.84201,1.520941,0.966447,0.29884201
300.431732,1.511299,0.92168,0.300431732
302.021484,1.496141,0.874536,0.302021484
303.611267,1.474714,0.82572,0.303611267
305.20105,1.446379,0.776137,0.30520105
306.790894,1.410665,0.726861,0.306790894
308.380768,1.367315,0.679086,0.308380768
309.970642,1.3163,0.634063,0.309970642
311.560577,1.257811,0.593047,0.311560577
313.150543,1.192228,0.557253,0.313150543
314.740509,1.120076,0.527855,0.314740509
316.330505,1.041995,0.506016,0.316330505
317.920532,0.958752,0.492971,0.317920532
319.51059,0.871342,0.490124,0.31951059
321.100677,0.781262,0.499113,0.321100677
322.690796,0.690956,0.521625,0.322690796
324.280914,0.60426,0.55866,0.324280914
325.871063,0.52602,0.60919,0.325871063
327.461243,0.460278,0.669405,0.327461243
329.051453,0.408326,0.734041,0.329051453
330.641693,0.3688,0.798655,0.330641693
332.231964,0.339188,0.860615,0.332231964
333.822235,0.317023,0.918781,0.333822235
335.412537,0.30032,0.972881,0.335412537
337.002869,0.2876,1.023066,0.337002869
338.593231,0.27779,1.069654,0.338593231
340.183594,0.270115,1.113016,0.340183594
341.773987,0.264015,1.153517,0.341773987
343.36441,0.25908,1.191492,0.34336441
344.954865,0.255007,1.227245,0.344954865
346.545319,0.251575,1.261038,0.346545319
348.135803,0.248616,1.293105,0.348135803
349.726288,0.246007,1.323647,0.349726288
351.316833,0.243654,1.352838,0.351316833
352.907349,0.241486,1.380831,0.352907349
354.497894,0.239452,1.407758,0.354497894
356.088501,0.237512,1.433735,0.356088501
