nm,n,k,wl
192.414993,0.499128,1.528888,0.192414993
194.001999,0.499708,1.542746,0.194001999
195.589081,0.500267,1.556712,0.195589081
197.176178,0.500809,1.570777,0.197176178
198.763351,0.501337,1.584936,0.198763351
200.350571,0.501854,1.599182,0.200350571
201.937836,0.502361,1.613509,0.201937836
203.525162,0.502861,1.627912,0.203525162
205.112518,0.503355,1.642387,0.205112518
206.699921,0.503846,1.656927,0.206699921
208.287399,0.504335,1.67153,0.208287399
209.874908,0.504824,1.686191,0.209874908
211.462448,0.505313,1.700906,0.211462448
213.050049,0.505805,1.715672,0.213050049
214.637695,0.5063,1.730486,0.214637695
216.225388,0.506799,1.745345,0.216225388
217.813141,0.507303,1.760245,0.217813141
219.400925,0.507814,1.775185,0.219400925
220.98877,0.508331,1.790161,0.22098877
222.57663,0.508856,1.805172,0.22257663
224.164581,0.509389,1.820215,0.224164581
225.752533,0.509931,1.835288,0.225752533
227.340546,0.510483,1.85039,0.227340546
228.928619,0.511044,1.865519,0.228928619
230.516693,0.511616,1.880672,0.230516693
232.104858,0.512199,1.895849,0.232104858
233.693039,0.512793,1.911048,0.233693039
235.281281,0.513398,1.926267,0.235281281
236.869537,0.514016,1.941506,0.236869537
238.457855,0.514645,1.956763,0.238457855
240.046219,0.515287,1.972037,0.240046219
241.634598,0.515942,1.987327,0.241634598
243.223053,0.51661,2.002633,0.243223053
244.811523,0.517291,2.017952,0.244811523
246.400055,0.517985,2.033285,0.246400055
247.988602,0.518693,2.04863,0.247988602
249.577194,0.519414,2.063986,0.249577194
251.165848,0.520149,2.079354,0.251165848
252.754517,0.520899,2.094732,0.252754517
254.343231,0.521662,2.11012,0.254343231
255.932007,0.52244,2.125516,0.255932007
257.520813,0.523231,2.140922,0.257520813
259.10965,0.524038,2.156335,0.25910965
260.698517,0.524859,2.171755,0.260698517
262.287415,0.525694,2.187183,0.262287415
263.876373,0.526544,2.202617,0.263876373
265.465363,0.527409,2.218058,0.265465363
267.054382,0.528289,2.233505,0.267054382
268.643433,0.529184,2.248956,0.268643433
270.232513,0.530093,2.264413,0.270232513
271.821655,0.531018,2.279875,0.271821655
273.410828,0.531957,2.295342,0.273410828
275.000031,0.532912,2.310812,0.275000031
276.589264,0.533882,2.326287,0.276589264
278.178528,0.534867,2.341766,0.278178528
279.767822,0.535868,2.357248,0.279767822
281.357147,0.536884,2.372733,0.281357147
282.946533,0.537915,2.388222,0.282946533
284.53595,0.538962,2.403713,0.28453595
286.125366,0.540024,2.419207,0.286125366
287.714844,0.541101,2.434704,0.287714844
289.304352,0.542194,2.450204,0.289304352
290.89386,0.543303,2.465705,0.29089386
292.483459,0.544427,2.48121,0.292483459
294.073029,0.545567,2.496716,0.294073029
295.662659,0.546723,2.512224,0.295662659
297.252319,0.547895,2.527734,0.297252319
298.84201,0.549082,2.543245,0.29884201
300.431732,0.550286,2.558759,0.300431732
302.021484,0.551505,2.574274,0.302021484
303.611267,0.55274,2.58979,0.303611267
305.20105,0.553991,2.605308,0.30520105
306.790894,0.555259,2.620828,0.306790894
308.380768,0.556542,2.636349,0.308380768
309.970642,0.557842,2.651871,0.309970642
311.560577,0.559158,2.667394,0.311560577
313.150543,0.56049,2.682919,0.313150543
314.740509,0.561839,2.698444,0.314740509
316.330505,0.563204,2.713971,0.316330505
317.920532,0.564586,2.729499,0.317920532
319.51059,0.565984,2.745028,0.31951059
321.100677,0.567399,2.760558,0.321100677
322.690796,0.568831,2.776089,0.322690796
324.280914,0.570279,2.79162,0.324280914
325.871063,0.571744,2.807153,0.325871063
327.461243,0.573227,2.822687,0.327461243
329.051453,0.574726,2.838222,0.329051453
330.641693,0.576242,2.853757,0.330641693
332.231964,0.577776,2.869294,0.332231964
333.822235,0.579327,2.884831,0.333822235
335.412537,0.580895,2.900369,0.335412537
337.002869,0.582481,2.915908,0.337002869
338.593231,0.584084,2.931448,0.338593231
340.183594,0.585705,2.946988,0.340183594
341.773987,0.587344,2.96253,0.341773987
343.36441,0.589,2.978072,0.34336441
344.954865,0.590675,2.993615,0.344954865
346.545319,0.592367,3.009159,0.346545319
348.135803,0.594078,3.024703,0.348135803
349.726288,0.595807,3.040248,0.349726288
351.316833,0.597554,3.055794,0.351316833
352.907349,0.59932,3.071341,0.352907349
354.497894,0.601105,3.086889,0.354497894
356.088501,0.602908,3.102437,0.356088501
357.679108,0.60473,3.117986,0.357679108
359.269714,0.606571,3.133536,0.359269714
360.860352,0.608431,3.149086,0.360860352
362.450989,0.61031,3.164637,0.362450989
364.041687,0.612208,3.180189,0.364041687
365.632385,0.614126,3.195742,0.365632385
367.223083,0.616064,3.211295,0.367223083
368.813782,0.618021,3.226849,0.368813782
370.404541,0.619999,3.242403,0.370404541
371.9953,0.621996,3.257958,0.3719953
373.58606,0.624013,3.273514,0.37358606
375.176849,0.626051,3.28907,0.375176849
376.767639,0.628109,3.304627,0.376767639
378.358459,0.630188,3.320184,0.378358459
379.94931,0.632288,3.335742,0.37994931
381.540161,0.634409,3.351301,0.381540161
383.131042,0.63655,3.366859,0.383131042
384.721893,0.638713,3.382419,0.384721893
386.312805,0.640898,3.397978,0.386312805
387.903687,0.643104,3.413538,0.387903687
