nm,n,k,wl
370.404541,1.621103,0,0.370404541
371.9953,1.620685,0,0.3719953
373.58606,1.620272,0,0.37358606
375.176849,1.619864,0,0.375176849
376.767639,1.619462,0,0.376767639
378.358459,1.619065,0,0.378358459
379.94931,1.618672,0,0.37994931
381.540161,1.618285,0,0.381540161
383.131042,1.617903,0,0.383131042
384.721893,1.617525,0,0.384721893
386.312805,1.617151,0,0.386312805
387.903687,1.616783,0,0.387903687
389.494598,1.616419,0,0.389494598
391.08551,1.616059,0,0.39108551
392.676453,1.615704,0,0.392676453
394.267426,1.615353,0,0.394267426
395.858398,1.615006,0,0.395858398
397.449371,1.614663,0,0.397449371
399.040344,1.614324,0,0.399040344
400.631348,1.61399,0,0.400631348
402.222351,1.613659,0,0.402222351
403.813385,1.613333,0,0.403813385
405.404388,1.61301,0,0.405404388
406.995422,1.612691,0,0.406995422
408.586487,1.612375,0,0.408586487
410.177551,1.612064,0,0.410177551
411.768616,1.611755,0,0.411768616
413.35968,1.611451,0,0.41335968
414.950745,1.61115,0,0.414950745
416.54184,1.610852,0,0.41654184
418.132904,1.610558,0,0.418132904
419.72403,1.610267,0,0.41972403
421.315125,1.609979,0,0.421315125
422.90625,1.609695,0,0.42290625
424.497375,1.609414,0,0.424497375
426.088531,1.609136,0,0.426088531
427.679626,1.608861,0,0.427679626
429.270813,1.608589,0,0.429270813
430.861908,1.60832,0,0.430861908
432.453064,1.608054,0,0.432453064
434.04425,1.607791,0,0.43404425
435.635345,1.607531,0,0.435635345
437.226501,1.607274,0,0.437226501
438.817688,1.607019,0,0.438817688
440.408844,1.606768,0,0.440408844
442.000061,1.606519,0,0.442000061
443.591217,1.606272,0,0.443591217
445.182373,1.606028,0,0.445182373
446.773529,1.605787,0,0.446773529
448.364685,1.605549,0,0.448364685
449.955902,1.605313,0,0.449955902
451.547058,1.605079,0,0.451547058
453.138245,1.604848,0,0.453138245
454.729431,1.60462,0,0.454729431
456.320618,1.604393,0,0.456320618
457.911774,1.604169,0,0.457911774
459.502991,1.603948,0,0.459502991
461.094147,1.603728,0,0.461094147
462.685303,1.603511,0,0.462685303
464.276459,1.603297,0,0.464276459
465.867676,1.603084,0,0.465867676
467.458832,1.602873,0,0.467458832
469.049988,1.602665,0,0.469049988
470.641174,1.602459,0,0.470641174
472.23233,1.602255,0,0.47223233
473.823486,1.602053,0,0.473823486
475.414642,1.601853,0,0.475414642
477.005768,1.601655,0,0.477005768
478.596924,1.601459,0,0.478596924
480.18808,1.601264,0,0.48018808
481.779205,1.601072,0,0.481779205
483.3703,1.600882,0,0.4833703
484.961487,1.600693,0,0.484961487
486.552582,1.600507,0,0.486552582
488.143707,1.600322,0,0.488143707
489.734802,1.600139,0,0.489734802
491.325867,1.599958,0,0.491325867
492.916992,1.599778,0,0.492916992
494.508057,1.599601,0,0.494508057
496.099182,1.599425,0,0.496099182
497.690247,1.59925,0,0.497690247
499.281311,1.599078,0,0.499281311
500.872314,1.598907,0,0.500872314
502.463379,1.598737,0,0.502463379
504.054382,1.59857,0,0.504054382
505.645416,1.598403,0,0.505645416
507.23642,1.598239,0,0.50723642
508.827454,1.598076,0,0.508827454
510.418457,1.597914,0,0.510418457
512.009399,1.597754,0,0.512009399
513.600403,1.597595,0,0.513600403
515.191345,1.597438,0,0.515191345
516.782288,1.597283,0,0.516782288
518.37323,1.597128,0,0.51837323
519.964172,1.596976,0,0.519964172
521.555054,1.596824,0,0.521555054
523.145935,1.596674,0,0.523145935
524.736877,1.596525,0,0.524736877
526.327759,1.596378,0,0.526327759
527.918579,1.596232,0,0.527918579
529.509399,1.596087,0,0.529509399
531.10022,1.595944,0,0.53110022
532.69104,1.595802,0,0.53269104
534.28186,1.595661,0,0.53428186
535.872681,1.595521,0,0.535872681
537.463379,1.595383,0,0.537463379
539.054138,1.595246,0,0.539054138
540.644897,1.59511,0,0.540644897
542.235596,1.594975,0,0.542235596
543.826294,1.594842,0,0.543826294
545.416992,1.59471,0,0.545416992
547.00769,1.594578,0,0.54700769
548.598267,1.594448,0,0.548598267
550.188904,1.594319,0,0.550188904
551.779541,1.594192,0,0.551779541
553.370117,1.594065,0,0.553370117
554.960693,1.593939,0,0.554960693
556.55127,1.593815,0,0.55655127
558.141785,1.593691,0,0.558141785
559.7323,1.593569,0,0.5597323
561.322815,1.593447,0,0.561322815
562.913269,1.593327,0,0.562913269
564.503723,1.593208,0,0.564503723
566.094116,1.593089,0,0.566094116
567.68457,1.592972,0,0.56768457
569.274963,1.592856,0,0.569274963
570.865295,1.59274,0,0.570865295
572.455688,1.592626,0,0.572455688
574.045959,1.592512,0,0.574045959
575.636292,1.5924,0,0.575636292
577.226501,1.592288,0,0.577226501
578.816772,1.592177,0,0.578816772
580.406982,1.592068,0,0.580406982
581.997192,1.591959,0,0.581997192
583.587341,1.591851,0,0.583587341
585.177551,1.591744,0,0.585177551
586.767639,1.591637,0,0.586767639
588.357788,1.591532,0,0.588357788
589.947815,1.591428,0,0.589947815
591.537842,1.591324,0,0.591537842
593.127869,1.591221,0,0.593127869
594.717896,1.591119,0,0.594717896
596.307861,1.591018,0,0.596307861
597.897766,1.590917,0,0.597897766
599.487671,1.590818,0,0.599487671
601.077576,1.590719,0,0.601077576
602.667419,1.590621,0,0.602667419
604.257202,1.590524,0,0.604257202
605.847046,1.590427,0,0.605847046
607.436829,1.590332,0,0.607436829
609.02655,1.590237,0,0.60902655
610.616272,1.590142,0,0.610616272
612.205933,1.590049,0,0.612205933
613.795532,1.589956,0,0.613795532
615.385193,1.589864,0,0.615385193
