nm,n,k,wl
300.431732,2.125921,0,0.300431732
302.021484,2.123027,0,0.302021484
303.611267,2.120177,0,0.303611267
305.20105,2.117372,0,0.30520105
306.790894,2.11461,0,0.306790894
308.380768,2.111891,0,0.308380768
309.970642,2.109213,0,0.309970642
311.560577,2.106577,0,0.311560577
313.150543,2.10398,0,0.313150543
314.740509,2.101423,0,0.314740509
316.330505,2.098903,0,0.316330505
317.920532,2.096422,0,0.317920532
319.51059,2.093978,0,0.31951059
321.100677,2.091569,0,0.321100677
322.690796,2.089196,0,0.322690796
324.280914,2.086859,0,0.324280914
325.871063,2.084555,0,0.325871063
327.461243,2.082284,0,0.327461243
329.051453,2.080046,0,0.329051453
330.641693,2.077841,0,0.330641693
332.231964,2.075667,0,0.332231964
333.822235,2.073524,0,0.333822235
335.412537,2.071411,0,0.335412537
337.002869,2.069329,0,0.337002869
338.593231,2.067275,0,0.338593231
340.183594,2.06525,0,0.340183594
341.773987,2.063254,0,0.341773987
343.36441,2.061285,0,0.34336441
344.954865,2.059343,0,0.344954865
346.545319,2.057427,0,0.346545319
348.135803,2.055538,0,0.348135803
349.726288,2.053675,0,0.349726288
351.316833,2.051837,0,0.351316833
352.907349,2.050024,0,0.352907349
354.497894,2.048234,0,0.354497894
356.088501,2.046469,0,0.356088501
357.679108,2.044728,0,0.357679108
359.269714,2.043009,0,0.359269714
360.860352,2.041313,0,0.360860352
362.450989,2.039639,0,0.362450989
364.041687,2.037988,0,0.364041687
365.632385,2.036357,0,0.365632385
367.223083,2.034748,0,0.367223083
368.813782,2.03316,0,0.368813782
370.404541,2.031592,0,0.370404541
371.9953,2.030044,0,0.3719953
373.58606,2.028516,0,0.37358606
375.176849,2.027007,0,0.375176849
376.767639,2.025517,0,0.376767639
378.358459,2.024046,0,0.378358459
379.94931,2.022593,0,0.37994931
381.540161,2.021159,0,0.381540161
383.131042,2.019742,0,0.383131042
384.721893,2.018343,0,0.384721893
386.312805,2.016961,0,0.386312805
387.903687,2.015596,0,0.387903687
389.494598,2.014248,0,0.389494598
391.08551,2.012916,0,0.39108551
392.676453,2.0116,0,0.392676453
394.267426,2.0103,0,0.394267426
