nm,n,k,wl
192.414993,0.994144,1.814479,0.192414993
194.001999,1.010429,1.822128,0.194001999
195.589081,1.022404,1.834547,0.195589081
197.176178,1.036529,1.849918,0.197176178
198.763351,1.051761,1.863438,0.198763351
200.350571,1.064604,1.876174,0.200350571
201.937836,1.076308,1.891111,0.201937836
203.525162,1.089692,1.90748,0.203525162
205.112518,1.10451,1.922975,0.205112518
206.699921,1.119215,1.937297,0.206699921
208.287399,1.133371,1.951299,0.208287399
209.874908,1.147206,1.965373,0.209874908
211.462448,1.160914,1.979613,0.211462448
213.050049,1.174609,1.994093,0.213050049
214.637695,1.188503,2.008933,0.214637695
216.225388,1.203012,2.024064,0.216225388
217.813141,1.218432,2.038844,0.217813141
219.400925,1.234154,2.052652,0.219400925
220.98877,1.249205,2.065788,0.22098877
222.57663,1.263606,2.079428,0.22257663
224.164581,1.278384,2.094002,0.224164581
225.752533,1.294433,2.108727,0.225752533
227.340546,1.311455,2.122663,0.227340546
228.928619,1.328773,2.13551,0.228928619
230.516693,1.345864,2.147462,0.230516693
232.104858,1.36241,2.158791,0.232104858
233.693039,1.378132,2.170068,0.233693039
235.281281,1.393465,2.182032,0.235281281
236.869537,1.409313,2.194836,0.236869537
238.457855,1.42649,2.207648,0.238457855
240.046219,1.444619,2.21943,0.240046219
241.634598,1.462843,2.229821,0.241634598
243.223053,1.480384,2.239263,0.243223053
244.811523,1.497194,2.248355,0.244811523
246.400055,1.513441,2.257406,0.246400055
247.988602,1.529316,2.266507,0.247988602
249.577194,1.544877,2.275682,0.249577194
251.165848,1.560128,2.285001,0.251165848
252.754517,1.57509,2.294661,0.252754517
254.343231,1.590015,2.304876,0.254343231
255.932007,1.605284,2.315678,0.255932007
257.520813,1.621334,2.326807,0.257520813
259.10965,1.63823,2.337717,0.25910965
260.698517,1.655735,2.348066,0.260698517
262.287415,1.673541,2.357689,0.262287415
263.876373,1.691351,2.366598,0.263876373
265.465363,1.708942,2.374869,0.265465363
267.054382,1.726083,2.38262,0.267054382
268.643433,1.742512,2.390168,0.268643433
270.232513,1.758321,2.398024,0.270232513
271.821655,1.773866,2.406473,0.271821655
273.410828,1.789613,2.41559,0.273410828
275.000031,1.806007,2.425053,0.275000031
276.589264,1.823042,2.434411,0.276589264
278.178528,1.84053,2.443418,0.278178528
279.767822,1.858199,2.451984,0.279767822
281.357147,1.875818,2.460285,0.281357147
282.946533,1.893431,2.468535,0.282946533
284.53595,1.911178,2.476831,0.28453595
286.125366,1.929253,2.485173,0.286125366
287.714844,1.947831,2.493368,0.287714844
289.304352,1.966871,2.501179,0.289304352
290.89386,1.986252,2.508468,0.29089386
