nm,n,k,wl
192.414993,0.95157,1.959591,0.192414993
194.001999,0.968836,1.976203,0.194001999
195.589081,0.985391,1.990878,0.195589081
197.176178,1.001029,2.003243,0.197176178
198.763351,1.015374,2.015965,0.198763351
200.350571,1.028528,2.030929,0.200350571
201.937836,1.041976,2.046951,0.201937836
203.525162,1.056799,2.062744,0.203525162
205.112518,1.072446,2.077923,0.205112518
206.699921,1.088198,2.092498,0.206699921
208.287399,1.103675,2.107351,0.208287399
209.874908,1.118679,2.123311,0.209874908
211.462448,1.133626,2.139748,0.211462448
213.050049,1.149126,2.155549,0.213050049
214.637695,1.165062,2.170733,0.214637695
216.225388,1.180737,2.186198,0.216225388
217.813141,1.195969,2.202181,0.217813141
219.400925,1.211593,2.217635,0.219400925
220.98877,1.228317,2.231741,0.22098877
222.57663,1.245467,2.245719,0.22257663
224.164581,1.26186,2.261496,0.224164581
225.752533,1.277489,2.279223,0.225752533
227.340546,1.294176,2.296409,0.227340546
228.928619,1.31347,2.310849,0.228928619
230.516693,1.334098,2.323116,0.230516693
232.104858,1.35336,2.335151,0.232104858
233.693039,1.369668,2.348292,0.233693039
235.281281,1.384921,2.362264,0.235281281
236.869537,1.401611,2.376495,0.236869537
238.457855,1.420875,2.390511,0.238457855
240.046219,1.441437,2.403922,0.240046219
241.634598,1.461877,2.416378,0.241634598
243.223053,1.481376,2.427751,0.243223053
244.811523,1.499913,2.438257,0.244811523
246.400055,1.517533,2.44812,0.246400055
247.988602,1.534407,2.457633,0.247988602
249.577194,1.550906,2.467211,0.249577194
251.165848,1.567382,2.47725,0.251165848
252.754517,1.584074,2.487975,0.252754517
254.343231,1.60101,2.49927,0.254343231
255.932007,1.618191,2.510979,0.255932007
257.520813,1.635648,2.522916,0.257520813
259.10965,1.653576,2.534679,0.25910965
260.698517,1.672211,2.545829,0.260698517
262.287415,1.691748,2.555988,0.262287415
263.876373,1.711853,2.565177,0.263876373
265.465363,1.731704,2.573769,0.265465363
267.054382,1.750523,2.582109,0.267054382
268.643433,1.767825,2.590474,0.268643433
270.232513,1.784212,2.598992,0.270232513
271.821655,1.800545,2.607751,0.271821655
273.410828,1.817606,2.616838,0.273410828
275.000031,1.835743,2.626252,0.275000031
276.589264,1.85455,2.635811,0.276589264
278.178528,1.873568,2.645326,0.278178528
279.767822,1.892385,2.65462,0.279767822
281.357147,1.910907,2.663623,0.281357147
282.946533,1.929444,2.672409,0.282946533
284.53595,1.948314,2.68106,0.28453595
286.125366,1.9678,2.689653,0.286125366
287.714844,1.987998,2.698178,0.287714844
289.304352,2.008727,2.70648,0.289304352
290.89386,2.029796,2.714405,0.29089386
292.483459,2.051033,2.721807,0.292483459
294.073029,2.072287,2.728599,0.294073029
295.662659,2.093447,2.734849,0.295662659
297.252319,2.114413,2.740646,0.297252319
298.84201,2.135091,2.746075,0.29884201
300.431732,2.155405,2.751209,0.300431732
302.021484,2.175389,2.756119,0.302021484
303.611267,2.195156,2.760871,0.303611267
305.20105,2.214809,2.765524,0.30520105
306.790894,2.234445,2.770139,0.306790894
308.380768,2.254137,2.774755,0.308380768
309.970642,2.273883,2.779335,0.309970642
311.560577,2.293666,2.783824,0.311560577
313.150543,2.313467,2.78817,0.313150543
314.740509,2.333271,2.792326,0.314740509
316.330505,2.353069,2.796248,0.316330505
317.920532,2.372863,2.799891,0.317920532
319.51059,2.392662,2.803214,0.31951059
321.100677,2.412472,2.806182,0.321100677
322.690796,2.432302,2.808759,0.322690796
324.280914,2.452147,2.810934,0.324280914
325.871063,2.471936,2.812799,0.325871063
327.461243,2.491574,2.814476,0.327461243
329.051453,2.510975,2.81608,0.329051453
330.641693,2.530055,2.817713,0.330641693
332.231964,2.54874,2.81947,0.332231964
333.822235,2.567078,2.821326,0.333822235
335.412537,2.58525,2.823136,0.335412537
337.002869,2.603438,2.824761,0.337002869
338.593231,2.62181,2.826072,0.338593231
340.183594,2.640527,2.826952,0.340183594
341.773987,2.659712,2.827309,0.341773987
343.36441,2.679223,2.827196,0.34336441
344.954865,2.69877,2.826743,0.344954865
346.545319,2.71808,2.826069,0.346545319
348.135803,2.736897,2.825279,0.348135803
349.726288,2.754981,2.82447,0.349726288
351.316833,2.772128,2.823723,0.351316833
352.907349,2.788442,2.823031,0.352907349
354.497894,2.804219,2.822334,0.354497894
356.088501,2.819745,2.821577,0.356088501
357.679108,2.835288,2.820714,0.357679108
359.269714,2.851098,2.819702,0.359269714
360.860352,2.867411,2.818506,0.360860352
362.450989,2.884321,2.817138,0.362450989
364.041687,2.901646,2.8157,0.364041687
365.632385,2.919185,2.814295,0.365632385
367.223083,2.936745,2.813019,0.367223083
368.813782,2.954144,2.811958,0.368813782
370.404541,2.97121,2.811191,0.370404541
371.9953,2.987787,2.810786,0.3719953
373.58606,3.003882,2.810699,0.37358606
375.176849,3.019692,2.810755,0.375176849
376.767639,3.035416,2.810787,0.376767639
378.358459,3.05124,2.810639,0.378358459
379.94931,3.067343,2.810166,0.37994931
381.540161,3.083893,2.809234,0.381540161
383.131042,3.101049,2.807719,0.383131042
384.721893,3.118845,2.805583,0.384721893
386.312805,3.13706,2.80294,0.386312805
387.903687,3.15545,2.799919,0.387903687
389.494598,3.173785,2.796638,0.389494598
391.08551,3.191847,2.793205,0.39108551
392.676453,3.209429,2.78972,0.392676453
394.267426,3.226336,2.786273,0.394267426
395.858398,3.24239,2.782944,0.395858398
397.449371,3.25761,2.779759,0.397449371
399.040344,3.272179,2.776693,0.399040344
400.631348,3.286279,2.773726,0.400631348
402.222351,3.300081,2.77084,0.402222351
403.813385,3.31375,2.768018,0.403813385
405.404388,3.327438,2.765248,0.405404388
406.995422,3.341293,2.762519,0.406995422
408.586487,3.355449,2.75982,0.408586487
410.177551,3.369966,2.757137,0.410177551
411.768616,3.384786,2.754441,0.411768616
413.35968,3.399851,2.751705,0.41335968
414.950745,3.415103,2.748904,0.414950745
416.54184,3.430489,2.746011,0.41654184
418.132904,3.445957,2.743002,0.418132904
419.72403,3.46146,2.739854,0.41972403
421.315125,3.476953,2.736545,0.421315125
422.90625,3.492394,2.733053,0.42290625
424.497375,3.507768,2.729382,0.424497375
426.088531,3.523079,2.725547,0.426088531
427.679626,3.538329,2.721567,0.427679626
429.270813,3.55352,2.717457,0.429270813
430.861908,3.568655,2.713232,0.430861908
432.453064,3.583736,2.708908,0.432453064
434.04425,3.598765,2.704499,0.43404425
435.635345,3.613743,2.700018,0.435635345
437.226501,3.628673,2.695478,0.437226501
438.817688,3.643551,2.690887,0.438817688
440.408844,3.658369,2.686244,0.440408844
442.000061,3.673117,2.681549,0.442000061
443.591217,3.687785,2.6768,0.443591217
445.182373,3.702367,2.671994,0.445182373
446.773529,3.716852,2.667132,0.446773529
448.364685,3.731235,2.662211,0.448364685
449.955902,3.745508,2.65723,0.449955902
451.547058,3.759664,2.652188,0.451547058
453.138245,3.773697,2.647084,0.453138245
454.729431,3.787607,2.641917,0.454729431
456.320618,3.801403,2.636692,0.456320618
457.911774,3.815098,2.631415,0.457911774
459.502991,3.828703,2.626088,0.459502991
461.094147,3.842228,2.620718,0.461094147
462.685303,3.855683,2.615308,0.462685303
464.276459,3.869077,2.609864,0.464276459
465.867676,3.882421,2.604387,0.465867676
467.458832,3.895721,2.598884,0.467458832
469.049988,3.908987,2.593359,0.469049988
470.641174,3.922226,2.587815,0.470641174
472.23233,3.935442,2.582251,0.47223233
473.823486,3.948632,2.576664,0.473823486
475.414642,3.961794,2.571048,0.475414642
477.005768,3.974926,2.565397,0.477005768
478.596924,3.988028,2.559708,0.478596924
480.18808,4.001096,2.553976,0.48018808
481.779205,4.014128,2.548197,0.481779205
483.3703,4.027125,2.542366,0.4833703
484.961487,4.040084,2.53648,0.484961487
486.552582,4.053005,2.530535,0.486552582
488.143707,4.065886,2.524529,0.488143707
489.734802,4.078725,2.518457,0.489734802
491.325867,4.091529,2.51232,0.491325867
492.916992,4.104304,2.506116,0.492916992
494.508057,4.117055,2.499848,0.494508057
496.099182,4.129789,2.493515,0.496099182
497.690247,4.14251,2.487117,0.497690247
499.281311,4.155226,2.480656,0.499281311
500.872314,4.16794,2.474132,0.500872314
502.463379,4.180658,2.467546,0.502463379
504.054382,4.193384,2.460898,0.504054382
505.645416,4.206124,2.45419,0.505645416
507.23642,4.218881,2.447423,0.50723642
508.827454,4.23166,2.440597,0.508827454
510.418457,4.244463,2.433711,0.510418457
512.009399,4.257286,2.426761,0.512009399
513.600403,4.270127,2.419738,0.513600403
515.191345,4.282981,2.412636,0.515191345
516.782288,4.295846,2.40545,0.516782288
518.37323,4.308719,2.398173,0.51837323
519.964172,4.321597,2.3908,0.519964172
521.555054,4.334477,2.383326,0.521555054
523.145935,4.347357,2.375746,0.523145935
524.736877,4.360235,2.368053,0.524736877
526.327759,4.373109,2.360246,0.526327759
527.918579,4.385976,2.352319,0.527918579
529.509399,4.398837,2.344268,0.529509399
531.10022,4.411687,2.336088,0.53110022
