nm,n,k,wl
303.611267,1.566751,0,0.303611267
305.20105,1.566034,0,0.30520105
306.790894,1.565328,0,0.306790894
308.380768,1.564633,0,0.308380768
309.970642,1.563949,0,0.309970642
311.560577,1.563275,0,0.311560577
313.150543,1.562611,0,0.313150543
314.740509,1.561957,0,0.314740509
316.330505,1.561313,0,0.316330505
317.920532,1.560679,0,0.317920532
319.51059,1.560054,0,0.31951059
321.100677,1.559438,0,0.321100677
322.690796,1.558832,0,0.322690796
324.280914,1.558234,0,0.324280914
325.871063,1.557645,0,0.325871063
327.461243,1.557065,0,0.327461243
329.051453,1.556493,0,0.329051453
330.641693,1.555929,0,0.330641693
332.231964,1.555374,0,0.332231964
333.822235,1.554826,0,0.333822235
335.412537,1.554286,0,0.335412537
337.002869,1.553753,0,0.337002869
338.593231,1.553229,0,0.338593231
340.183594,1.552711,0,0.340183594
341.773987,1.552201,0,0.341773987
343.36441,1.551697,0,0.34336441
344.954865,1.551201,0,0.344954865
346.545319,1.550712,0,0.346545319
348.135803,1.550229,0,0.348135803
349.726288,1.549752,0,0.349726288
351.316833,1.549282,0,0.351316833
352.907349,1.548819,0,0.352907349
354.497894,1.548362,0,0.354497894
356.088501,1.54791,0,0.356088501
357.679108,1.547465,0,0.357679108
359.269714,1.547026,0,0.359269714
360.860352,1.546592,0,0.360860352
362.450989,1.546165,0,0.362450989
364.041687,1.545743,0,0.364041687
365.632385,1.545326,0,0.365632385
367.223083,1.544914,0,0.367223083
368.813782,1.544508,0,0.368813782
370.404541,1.544108,0,0.370404541
371.9953,1.543712,0,0.3719953
373.58606,1.543321,0,0.37358606
375.176849,1.542936,0,0.375176849
376.767639,1.542555,0,0.376767639
378.358459,1.542179,0,0.378358459
379.94931,1.541807,0,0.37994931
381.540161,1.541441,0,0.381540161
383.131042,1.541079,0,0.383131042
384.721893,1.540721,0,0.384721893
386.312805,1.540368,0,0.386312805
387.903687,1.540019,0,0.387903687
389.494598,1.539674,0,0.389494598
391.08551,1.539334,0,0.39108551
392.676453,1.538998,0,0.392676453
394.267426,1.538665,0,0.394267426
395.858398,1.538337,0,0.395858398
397.449371,1.538013,0,0.397449371
399.040344,1.537692,0,0.399040344
400.631348,1.537376,0,0.400631348
402.222351,1.537063,0,0.402222351
403.813385,1.536753,0,0.403813385
405.404388,1.536448,0,0.405404388
406.995422,1.536146,0,0.406995422
408.586487,1.535847,0,0.408586487
410.177551,1.535552,0,0.410177551
411.768616,1.535261,0,0.411768616
413.35968,1.534972,0,0.41335968
414.950745,1.534688,0,0.414950745
416.54184,1.534406,0,0.41654184
418.132904,1.534127,0,0.418132904
419.72403,1.533852,0,0.41972403
421.315125,1.53358,0,0.421315125
422.90625,1.533311,0,0.42290625
424.497375,1.533045,0,0.424497375
426.088531,1.532781,0,0.426088531
427.679626,1.532521,0,0.427679626
429.270813,1.532264,0,0.429270813
430.861908,1.532009,0,0.430861908
432.453064,1.531758,0,0.432453064
434.04425,1.531509,0,0.43404425
435.635345,1.531263,0,0.435635345
437.226501,1.531019,0,0.437226501
438.817688,1.530778,0,0.438817688
440.408844,1.53054,0,0.440408844
442.000061,1.530304,0,0.442000061
443.591217,1.530071,0,0.443591217
445.182373,1.52984,0,0.445182373
446.773529,1.529612,0,0.446773529
448.364685,1.529386,0,0.448364685
449.955902,1.529163,0,0.449955902
451.547058,1.528942,0,0.451547058
453.138245,1.528723,0,0.453138245
454.729431,1.528507,0,0.454729431
456.320618,1.528293,0,0.456320618
457.911774,1.528081,0,0.457911774
459.502991,1.527871,0,0.459502991
461.094147,1.527663,0,0.461094147
462.685303,1.527458,0,0.462685303
464.276459,1.527255,0,0.464276459
465.867676,1.527053,0,0.465867676
467.458832,1.526854,0,0.467458832
469.049988,1.526657,0,0.469049988
470.641174,1.526462,0,0.470641174
472.23233,1.526269,0,0.47223233
473.823486,1.526077,0,0.473823486
475.414642,1.525888,0,0.475414642
477.005768,1.525701,0,0.477005768
478.596924,1.525515,0,0.478596924
480.18808,1.525331,0,0.48018808
481.779205,1.525149,0,0.481779205
483.3703,1.524969,0,0.4833703
484.961487,1.524791,0,0.484961487
486.552582,1.524614,0,0.486552582
488.143707,1.524439,0,0.488143707
489.734802,1.524266,0,0.489734802
491.325867,1.524095,0,0.491325867
492.916992,1.523925,0,0.492916992
494.508057,1.523757,0,0.494508057
496.099182,1.52359,0,0.496099182
497.690247,1.523425,0,0.497690247
499.281311,1.523262,0,0.499281311
500.872314,1.5231,0,0.500872314
502.463379,1.52294,0,0.502463379
