nm,n,k,wl
257.520813,2.352838,0,0.257520813
259.10965,2.347456,0,0.25910965
260.698517,2.342212,0,0.260698517
262.287415,2.337103,0,0.262287415
263.876373,2.332124,0,0.263876373
265.465363,2.327271,0,0.265465363
267.054382,2.322538,0,0.267054382
268.643433,2.317924,0,0.268643433
270.232513,2.313424,0,0.270232513
271.821655,2.309034,0,0.271821655
273.410828,2.304751,0,0.273410828
275.000031,2.300571,0,0.275000031
276.589264,2.296492,0,0.276589264
278.178528,2.29251,0,0.278178528
279.767822,2.288622,0,0.279767822
281.357147,2.284826,0,0.281357147
282.946533,2.281118,0,0.282946533
284.53595,2.277497,0,0.28453595
286.125366,2.273959,0,0.286125366
287.714844,2.270501,0,0.287714844
289.304352,2.267123,0,0.289304352
290.89386,2.26382,0,0.29089386
292.483459,2.260592,0,0.292483459
294.073029,2.257436,0,0.294073029
295.662659,2.254349,0,0.295662659
297.252319,2.25133,0,0.297252319
298.84201,2.248378,0,0.29884201
300.431732,2.245489,0,0.300431732
302.021484,2.242662,0,0.302021484
303.611267,2.239897,0,0.303611267
305.20105,2.23719,0,0.30520105
306.790894,2.23454,0,0.306790894
308.380768,2.231946,0,0.308380768
309.970642,2.229406,0,0.309970642
311.560577,2.226919,0,0.311560577
313.150543,2.224483,0,0.313150543
314.740509,2.222097,0,0.314740509
316.330505,2.21976,0,0.316330505
317.920532,2.21747,0,0.317920532
319.51059,2.215226,0,0.31951059
321.100677,2.213027,0,0.321100677
322.690796,2.210871,0,0.322690796
324.280914,2.208758,0,0.324280914
325.871063,2.206687,0,0.325871063
327.461243,2.204656,0,0.327461243
329.051453,2.202664,0,0.329051453
330.641693,2.200711,0,0.330641693
332.231964,2.198796,0,0.332231964
333.822235,2.196916,0,0.333822235
335.412537,2.195073,0,0.335412537
337.002869,2.193264,0,0.337002869
338.593231,2.191489,0,0.338593231
340.183594,2.189747,0,0.340183594
341.773987,2.188037,0,0.341773987
343.36441,2.186359,0,0.34336441
344.954865,2.184711,0,0.344954865
346.545319,2.183094,0,0.346545319
348.135803,2.181506,0,0.348135803
349.726288,2.179946,0,0.349726288
351.316833,2.178414,0,0.351316833
352.907349,2.176909,0,0.352907349
354.497894,2.175431,0,0.354497894
356.088501,2.17398,0,0.356088501
357.679108,2.172553,0,0.357679108
359.269714,2.171151,0,0.359269714
360.860352,2.169774,0,0.360860352
362.450989,2.16842,0,0.362450989
364.041687,2.167089,0,0.364041687
365.632385,2.165781,0,0.365632385
367.223083,2.164495,0,0.367223083
368.813782,2.163231,0,0.368813782
370.404541,2.161988,0,0.370404541
371.9953,2.160766,0,0.3719953
373.58606,2.159564,0,0.37358606
375.176849,2.158381,0,0.375176849
376.767639,2.157219,0,0.376767639
378.358459,2.156075,0,0.378358459
379.94931,2.154949,0,0.37994931
381.540161,2.153842,0,0.381540161
383.131042,2.152753,0,0.383131042
384.721893,2.151681,0,0.384721893
386.312805,2.150626,0,0.386312805
387.903687,2.149588,0,0.387903687
389.494598,2.148566,0,0.389494598
391.08551,2.14756,0,0.39108551
392.676453,2.146569,0,0.392676453
394.267426,2.145595,0,0.394267426
395.858398,2.144635,0,0.395858398
397.449371,2.14369,0,0.397449371
399.040344,2.142759,0,0.399040344
400.631348,2.141842,0,0.400631348
402.222351,2.140939,0,0.402222351
403.813385,2.14005,0,0.403813385
405.404388,2.139174,0,0.405404388
406.995422,2.138312,0,0.406995422
408.586487,2.137462,0,0.408586487
410.177551,2.136624,0,0.410177551
