nm,n,k,wl
192.414993,1.938587,0.805363,0.192414993
194.001999,1.948858,0.804523,0.194001999
195.589081,1.959164,0.803474,0.195589081
197.176178,1.969496,0.802213,0.197176178
198.763351,1.979846,0.800737,0.198763351
200.350571,1.990207,0.799044,0.200350571
201.937836,2.00057,0.797132,0.201937836
203.525162,2.010929,0.794999,0.203525162
205.112518,2.021274,0.792644,0.205112518
206.699921,2.031598,0.790066,0.206699921
208.287399,2.041893,0.787264,0.208287399
209.874908,2.05215,0.784239,0.209874908
211.462448,2.062362,0.78099,0.211462448
213.050049,2.072521,0.777519,0.213050049
214.637695,2.082619,0.773825,0.214637695
216.225388,2.092648,0.76991,0.216225388
217.813141,2.102601,0.765776,0.217813141
219.400925,2.112469,0.761424,0.219400925
220.98877,2.122246,0.756857,0.22098877
222.57663,2.131923,0.752076,0.22257663
224.164581,2.141495,0.747086,0.224164581
225.752533,2.150952,0.741888,0.225752533
227.340546,2.160289,0.736486,0.227340546
228.928619,2.169499,0.730883,0.228928619
230.516693,2.178575,0.725085,0.230516693
232.104858,2.18751,0.719094,0.232104858
233.693039,2.196299,0.712915,0.233693039
235.281281,2.204934,0.706552,0.235281281
236.869537,2.213411,0.700011,0.236869537
238.457855,2.221724,0.693297,0.238457855
240.046219,2.229868,0.686415,0.240046219
241.634598,2.237836,0.679369,0.241634598
243.223053,2.245625,0.672167,0.243223053
244.811523,2.253229,0.664814,0.244811523
246.400055,2.260645,0.657315,0.246400055
247.988602,2.267868,0.649677,0.247988602
249.577194,2.274894,0.641905,0.249577194
251.165848,2.28172,0.634008,0.251165848
252.754517,2.288342,0.625989,0.252754517
254.343231,2.294757,0.617858,0.254343231
255.932007,2.300963,0.609619,0.255932007
257.520813,2.306956,0.601279,0.257520813
259.10965,2.312735,0.592846,0.25910965
260.698517,2.318298,0.584326,0.260698517
262.287415,2.323642,0.575726,0.262287415
263.876373,2.328768,0.567053,0.263876373
265.465363,2.333672,0.558313,0.265465363
267.054382,2.338354,0.549513,0.267054382
268.643433,2.342815,0.54066,0.268643433
270.232513,2.347052,0.531761,0.270232513
271.821655,2.351067,0.522822,0.271821655
273.410828,2.354859,0.51385,0.273410828
275.000031,2.358428,0.504852,0.275000031
276.589264,2.361776,0.495834,0.276589264
278.178528,2.364902,0.486803,0.278178528
279.767822,2.367808,0.477765,0.279767822
281.357147,2.370495,0.468726,0.281357147
282.946533,2.372964,0.459692,0.282946533
284.53595,2.375217,0.450669,0.28453595
286.125366,2.377256,0.441664,0.286125366
287.714844,2.379083,0.432682,0.287714844
289.304352,2.3807,0.423728,0.289304352
290.89386,2.382109,0.414809,0.29089386
292.483459,2.383312,0.40593,0.292483459
294.073029,2.384313,0.397095,0.294073029
295.662659,2.385114,0.388311,0.295662659
297.252319,2.385717,0.379581,0.297252319
298.84201,2.386127,0.370912,0.29884201
300.431732,2.386345,0.362307,0.300431732
302.021484,2.386375,0.353771,0.302021484
303.611267,2.386221,0.345309,0.303611267
305.20105,2.385886,0.336924,0.30520105
306.790894,2.385374,0.328621,0.306790894
308.380768,2.384687,0.320404,0.308380768
309.970642,2.383831,0.312277,0.309970642
311.560577,2.382807,0.304243,0.311560577
313.150543,2.381621,0.296306,0.313150543
314.740509,2.380275,0.288469,0.314740509
316.330505,2.378775,0.280735,0.316330505
317.920532,2.377124,0.273107,0.317920532
319.51059,2.375325,0.265589,0.31951059
321.100677,2.373383,0.258183,0.321100677
322.690796,2.371302,0.250892,0.322690796
324.280914,2.369086,0.243718,0.324280914
325.871063,2.366739,0.236664,0.325871063
327.461243,2.364265,0.229731,0.327461243
329.051453,2.361668,0.222923,0.329051453
330.641693,2.358952,0.216241,0.330641693
332.231964,2.356122,0.209687,0.332231964
333.822235,2.353181,0.203263,0.333822235
335.412537,2.350133,0.196971,0.335412537
337.002869,2.346984,0.190811,0.337002869
338.593231,2.343736,0.184786,0.338593231
340.183594,2.340394,0.178898,0.340183594
341.773987,2.336962,0.173146,0.341773987
343.36441,2.333445,0.167533,0.34336441
344.954865,2.329845,0.16206,0.344954865
346.545319,2.326169,0.156727,0.346545319
348.135803,2.322418,0.151535,0.348135803
349.726288,2.318598,0.146486,0.349726288
351.316833,2.314713,0.141581,0.351316833
352.907349,2.310766,0.136818,0.352907349
354.497894,2.306762,0.132201,0.354497894
356.088501,2.302705,0.127728,0.356088501
357.679108,2.298599,0.123401,0.357679108
359.269714,2.294447,0.119219,0.359269714
360.860352,2.290255,0.115184,0.360860352
362.450989,2.286026,0.111295,0.362450989
364.041687,2.281764,0.107553,0.364041687
365.632385,2.277474,0.103958,0.365632385
367.223083,2.273159,0.10051,0.367223083
368.813782,2.268824,0.097209,0.368813782
370.404541,2.264473,0.094055,0.370404541
371.9953,2.260111,0.091048,0.3719953
373.58606,2.25574,0.088188,0.37358606
375.176849,2.251367,0.085475,0.375176849
376.767639,2.246995,0.082908,0.376767639
378.358459,2.24263,0.080488,0.378358459
379.94931,2.238275,0.078214,0.37994931
381.540161,2.233935,0.076087,0.381540161
383.131042,2.229616,0.074104,0.383131042
384.721893,2.225323,0.072267,0.384721893
386.312805,2.221061,0.070575,0.386312805
387.903687,2.216835,0.069026,0.387903687
389.494598,2.212652,0.067622,0.389494598
391.08551,2.208518,0.066361,0.39108551
392.676453,2.204441,0.065242,0.392676453
394.267426,2.200426,0.064264,0.394267426
395.858398,2.196485,0.063428,0.395858398
397.449371,2.192625,0.062732,0.397449371
399.040344,2.18886,0.062175,0.399040344
400.631348,2.185206,0.061757,0.400631348
402.222351,2.181686,0.061475,0.402222351
403.813385,2.178355,0.061313,0.403813385
405.404388,2.175219,0.061168,0.405404388
406.995422,2.172217,0.061022,0.406995422
408.586487,2.169327,0.060876,0.408586487
410.177551,2.166533,0.060729,0.410177551
411.768616,2.163826,0.060583,0.411768616
413.35968,2.161197,0.060436,0.41335968
414.950745,2.158641,0.060291,0.414950745
416.54184,2.15615,0.060145,0.41654184
418.132904,2.153722,0.060001,0.418132904
419.72403,2.151351,0.059857,0.41972403
421.315125,2.149034,0.059714,0.421315125
422.90625,2.146768,0.059572,0.42290625
424.497375,2.14455,0.059431,0.424497375
426.088531,2.142378,0.059291,0.426088531
427.679626,2.140249,0.059153,0.427679626
429.270813,2.138161,0.059015,0.429270813
430.861908,2.136112,0.058879,0.430861908
432.453064,2.1341,0.058743,0.432453064
434.04425,2.132124,0.058609,0.43404425
435.635345,2.130182,0.058477,0.435635345
437.226501,2.128273,0.058345,0.437226501
438.817688,2.126395,0.058215,0.438817688
440.408844,2.124547,0.058086,0.440408844
442.000061,2.122727,0.057959,0.442000061
443.591217,2.120935,0.057833,0.443591217
445.182373,2.11917,0.057708,0.445182373
446.773529,2.117431,0.057585,0.446773529
448.364685,2.115716,0.057463,0.448364685
449.955902,2.114025,0.057342,0.449955902
451.547058,2.112357,0.057223,0.451547058
453.138245,2.110712,0.057105,0.453138245
454.729431,2.109087,0.056989,0.454729431
456.320618,2.107484,0.056874,0.456320618
457.911774,2.105901,0.056761,0.457911774
459.502991,2.104336,0.056649,0.459502991
461.094147,2.102791,0.056538,0.461094147
462.685303,2.101264,0.056429,0.462685303
464.276459,2.099754,0.056321,0.464276459
465.867676,2.098261,0.056215,0.465867676
467.458832,2.096785,0.05611,0.467458832
469.049988,2.095325,0.056007,0.469049988
470.641174,2.093881,0.055905,0.470641174
472.23233,2.092451,0.055804,0.47223233
473.823486,2.091037,0.055705,0.473823486
475.414642,2.089636,0.055607,0.475414642
477.005768,2.088249,0.055511,0.477005768
478.596924,2.086876,0.055416,0.478596924
480.18808,2.085515,0.055323,0.48018808
481.779205,2.084168,0.055231,0.481779205
483.3703,2.082832,0.05514,0.4833703
484.961487,2.081509,0.055051,0.484961487
486.552582,2.080197,0.054963,0.486552582
488.143707,2.078897,0.054877,0.488143707
489.734802,2.077607,0.054792,0.489734802
491.325867,2.076329,0.054709,0.491325867
492.916992,2.07506,0.054626,0.492916992
494.508057,2.073802,0.054546,0.494508057
496.099182,2.072554,0.054466,0.496099182
497.690247,2.071316,0.054388,0.497690247
499.281311,2.070087,0.054312,0.499281311
500.872314,2.068867,0.054237,0.500872314
502.463379,2.067656,0.054163,0.502463379
504.054382,2.066454,0.054091,0.504054382
505.645416,2.06526,0.054019,0.505645416
507.23642,2.064074,0.05395,0.50723642
508.827454,2.062897,0.053881,0.508827454
510.418457,2.061727,0.053814,0.510418457
512.009399,2.060565,0.053749,0.512009399
