nm,n,k,wl
192.414993,1.436833,0,0.192414993
194.001999,1.435567,0,0.194001999
195.589081,1.434334,0,0.195589081
197.176178,1.433134,0,0.197176178
198.763351,1.431965,0,0.198763351
200.350571,1.430826,0,0.200350571
201.937836,1.429716,0,0.201937836
203.525162,1.428633,0,0.203525162
205.112518,1.427578,0,0.205112518
206.699921,1.426549,0,0.206699921
208.287399,1.425546,0,0.208287399
209.874908,1.424567,0,0.209874908
211.462448,1.423611,0,0.211462448
213.050049,1.422678,0,0.213050049
214.637695,1.421768,0,0.214637695
216.225388,1.420879,0,0.216225388
217.813141,1.420011,0,0.217813141
219.400925,1.419163,0,0.219400925
220.98877,1.418334,0,0.22098877
222.57663,1.417524,0,0.22257663
224.164581,1.416733,0,0.224164581
225.752533,1.41596,0,0.225752533
227.340546,1.415203,0,0.227340546
228.928619,1.414464,0,0.228928619
230.516693,1.41374,0,0.230516693
232.104858,1.413033,0,0.232104858
233.693039,1.412341,0,0.233693039
235.281281,1.411663,0,0.235281281
236.869537,1.411,0,0.236869537
238.457855,1.410351,0,0.238457855
240.046219,1.409716,0,0.240046219
241.634598,1.409094,0,0.241634598
243.223053,1.408485,0,0.243223053
244.811523,1.407888,0,0.244811523
246.400055,1.407303,0,0.246400055
247.988602,1.406731,0,0.247988602
249.577194,1.40617,0,0.249577194
251.165848,1.40562,0,0.251165848
252.754517,1.405081,0,0.252754517
254.343231,1.404552,0,0.254343231
255.932007,1.404034,0,0.255932007
257.520813,1.403526,0,0.257520813
259.10965,1.403028,0,0.25910965
260.698517,1.402539,0,0.260698517
262.287415,1.40206,0,0.262287415
263.876373,1.40159,0,0.263876373
265.465363,1.401129,0,0.265465363
267.054382,1.400676,0,0.267054382
268.643433,1.400231,0,0.268643433
270.232513,1.399795,0,0.270232513
271.821655,1.399367,0,0.271821655
273.410828,1.398947,0,0.273410828
275.000031,1.398534,0,0.275000031
276.589264,1.398129,0,0.276589264
278.178528,1.39773,0,0.278178528
279.767822,1.397339,0,0.279767822
281.357147,1.396955,0,0.281357147
282.946533,1.396578,0,0.282946533
284.53595,1.396207,0,0.28453595
286.125366,1.395843,0,0.286125366
287.714844,1.395485,0,0.287714844
289.304352,1.395133,0,0.289304352
290.89386,1.394787,0,0.29089386
292.483459,1.394447,0,0.292483459
294.073029,1.394113,0,0.294073029
295.662659,1.393784,0,0.295662659
297.252319,1.393461,0,0.297252319
298.84201,1.393143,0,0.29884201
300.431732,1.39283,0,0.300431732
302.021484,1.392523,0,0.302021484
303.611267,1.39222,0,0.303611267
305.20105,1.391923,0,0.30520105
306.790894,1.39163,0,0.306790894
308.380768,1.391342,0,0.308380768
309.970642,1.391058,0,0.309970642
311.560577,1.390779,0,0.311560577
313.150543,1.390504,0,0.313150543
314.740509,1.390234,0,0.314740509
316.330505,1.389968,0,0.316330505
317.920532,1.389706,0,0.317920532
319.51059,1.389448,0,0.31951059
321.100677,1.389194,0,0.321100677
322.690796,1.388944,0,0.322690796
324.280914,1.388697,0,0.324280914
325.871063,1.388455,0,0.325871063
327.461243,1.388216,0,0.327461243
329.051453,1.38798,0,0.329051453
330.641693,1.387748,0,0.330641693
332.231964,1.38752,0,0.332231964
333.822235,1.387295,0,0.333822235
335.412537,1.387073,0,0.335412537
337.002869,1.386855,0,0.337002869
338.593231,1.386639,0,0.338593231
340.183594,1.386427,0,0.340183594
341.773987,1.386218,0,0.341773987
343.36441,1.386011,0,0.34336441
344.954865,1.385808,0,0.344954865
346.545319,1.385607,0,0.346545319
348.135803,1.38541,0,0.348135803
349.726288,1.385215,0,0.349726288
351.316833,1.385023,0,0.351316833
352.907349,1.384833,0,0.352907349
354.497894,1.384647,0,0.354497894
356.088501,1.384462,0,0.356088501
357.679108,1.384281,0,0.357679108
359.269714,1.384101,0,0.359269714
360.860352,1.383924,0,0.360860352
362.450989,1.38375,0,0.362450989
364.041687,1.383578,0,0.364041687
365.632385,1.383408,0,0.365632385
367.223083,1.383241,0,0.367223083
368.813782,1.383075,0,0.368813782
370.404541,1.382912,0,0.370404541
371.9953,1.382751,0,0.3719953
373.58606,1.382592,0,0.37358606
375.176849,1.382435,0,0.375176849
376.767639,1.382281,0,0.376767639
378.358459,1.382128,0,0.378358459
379.94931,1.381977,0,0.37994931
381.540161,1.381828,0,0.381540161
383.131042,1.381681,0,0.383131042
384.721893,1.381536,0,0.384721893
386.312805,1.381393,0,0.386312805
387.903687,1.381251,0,0.387903687
389.494598,1.381112,0,0.389494598
391.08551,1.380974,0,0.39108551
392.676453,1.380837,0,0.392676453
394.267426,1.380703,0,0.394267426
395.858398,1.38057,0,0.395858398
397.449371,1.380439,0,0.397449371
399.040344,1.380309,0,0.399040344
400.631348,1.380181,0,0.400631348
402.222351,1.380054,0,0.402222351
403.813385,1.379929,0,0.403813385
405.404388,1.379806,0,0.405404388
406.995422,1.379684,0,0.406995422
408.586487,1.379563,0,0.408586487
410.177551,1.379444,0,0.410177551
411.768616,1.379326,0,0.411768616
413.35968,1.37921,0,0.41335968
414.950745,1.379095,0,0.414950745
416.54184,1.378981,0,0.41654184
418.132904,1.378869,0,0.418132904
419.72403,1.378758,0,0.41972403
421.315125,1.378648,0,0.421315125
422.90625,1.37854,0,0.42290625
424.497375,1.378433,0,0.424497375
426.088531,1.378326,0,0.426088531
427.679626,1.378222,0,0.427679626
429.270813,1.378118,0,0.429270813
430.861908,1.378016,0,0.430861908
432.453064,1.377914,0,0.432453064
434.04425,1.377814,0,0.43404425
435.635345,1.377715,0,0.435635345
437.226501,1.377617,0,0.437226501
438.817688,1.37752,0,0.438817688
440.408844,1.377424,0,0.440408844
442.000061,1.37733,0,0.442000061
443.591217,1.377236,0,0.443591217
445.182373,1.377143,0,0.445182373
446.773529,1.377052,0,0.446773529
448.364685,1.376961,0,0.448364685
449.955902,1.376871,0,0.449955902
451.547058,1.376783,0,0.451547058
453.138245,1.376695,0,0.453138245
454.729431,1.376608,0,0.454729431
456.320618,1.376522,0,0.456320618
457.911774,1.376437,0,0.457911774
