nm,n,k,wl
228.928619,1.862571,0,0.228928619
230.516693,1.858905,0,0.230516693
232.104858,1.855345,0,0.232104858
233.693039,1.851887,0,0.233693039
235.281281,1.848527,0,0.235281281
236.869537,1.845261,0,0.236869537
238.457855,1.842086,0,0.238457855
240.046219,1.839,0,0.240046219
241.634598,1.835997,0,0.241634598
243.223053,1.833077,0,0.243223053
244.811523,1.830236,0,0.244811523
246.400055,1.82747,0,0.246400055
247.988602,1.824778,0,0.247988602
249.577194,1.822158,0,0.249577194
251.165848,1.819605,0,0.251165848
252.754517,1.817119,0,0.252754517
254.343231,1.814698,0,0.254343231
255.932007,1.812338,0,0.255932007
257.520813,1.810038,0,0.257520813
259.10965,1.807796,0,0.25910965
260.698517,1.80561,0,0.260698517
262.287415,1.803478,0,0.262287415
263.876373,1.801399,0,0.263876373
265.465363,1.799371,0,0.265465363
267.054382,1.797392,0,0.267054382
268.643433,1.795461,0,0.268643433
270.232513,1.793576,0,0.270232513
271.821655,1.791736,0,0.271821655
273.410828,1.789939,0,0.273410828
275.000031,1.788184,0,0.275000031
276.589264,1.78647,0,0.276589264
278.178528,1.784796,0,0.278178528
279.767822,1.78316,0,0.279767822
281.357147,1.781561,0,0.281357147
282.946533,1.779999,0,0.282946533
284.53595,1.778471,0,0.28453595
286.125366,1.776978,0,0.286125366
287.714844,1.775518,0,0.287714844
289.304352,1.77409,0,0.289304352
290.89386,1.772693,0,0.29089386
292.483459,1.771326,0,0.292483459
294.073029,1.769989,0,0.294073029
295.662659,1.768681,0,0.295662659
297.252319,1.7674,0,0.297252319
298.84201,1.766146,0,0.29884201
300.431732,1.764919,0,0.300431732
302.021484,1.763717,0,0.302021484
303.611267,1.762541,0,0.303611267
305.20105,1.761388,0,0.30520105
306.790894,1.760259,0,0.306790894
308.380768,1.759153,0,0.308380768
309.970642,1.75807,0,0.309970642
311.560577,1.757008,0,0.311560577
313.150543,1.755967,0,0.313150543
314.740509,1.754947,0,0.314740509
316.330505,1.753947,0,0.316330505
317.920532,1.752967,0,0.317920532
319.51059,1.752005,0,0.31951059
321.100677,1.751063,0,0.321100677
322.690796,1.750138,0,0.322690796
324.280914,1.749231,0,0.324280914
325.871063,1.748341,0,0.325871063
327.461243,1.747468,0,0.327461243
329.051453,1.746612,0,0.329051453
330.641693,1.745771,0,0.330641693
332.231964,1.744946,0,0.332231964
333.822235,1.744136,0,0.333822235
335.412537,1.743341,0,0.335412537
337.002869,1.742561,0,0.337002869
338.593231,1.741794,0,0.338593231
340.183594,1.741041,0,0.340183594
341.773987,1.740302,0,0.341773987
343.36441,1.739576,0,0.34336441
344.954865,1.738863,0,0.344954865
346.545319,1.738163,0,0.346545319
348.135803,1.737474,0,0.348135803
349.726288,1.736798,0,0.349726288
351.316833,1.736133,0,0.351316833
352.907349,1.73548,0,0.352907349
354.497894,1.734838,0,0.354497894
356.088501,1.734206,0,0.356088501
357.679108,1.733586,0,0.357679108
359.269714,1.732976,0,0.359269714
360.860352,1.732376,0,0.360860352
362.450989,1.731786,0,0.362450989
364.041687,1.731206,0,0.364041687
365.632385,1.730635,0,0.365632385
367.223083,1.730074,0,0.367223083
368.813782,1.729522,0,0.368813782
370.404541,1.728979,0,0.370404541
371.9953,1.728444,0,0.3719953
373.58606,1.727918,0,0.37358606
375.176849,1.727401,0,0.375176849
376.767639,1.726891,0,0.376767639
378.358459,1.72639,0,0.378358459
379.94931,1.725896,0,0.37994931
381.540161,1.725411,0,0.381540161
383.131042,1.724933,0,0.383131042
384.721893,1.724462,0,0.384721893
386.312805,1.723998,0,0.386312805
387.903687,1.723542,0,0.387903687
389.494598,1.723092,0,0.389494598
391.08551,1.722649,0,0.39108551
392.676453,1.722213,0,0.392676453
394.267426,1.721784,0,0.394267426
395.858398,1.721361,0,0.395858398
397.449371,1.720944,0,0.397449371
399.040344,1.720533,0,0.399040344
400.631348,1.720128,0,0.400631348
402.222351,1.71973,0,0.402222351
403.813385,1.719337,0,0.403813385
405.404388,1.718949,0,0.405404388
406.995422,1.718568,0,0.406995422
408.586487,1.718191,0,0.408586487
410.177551,1.71782,0,0.410177551
411.768616,1.717455,0,0.411768616
413.35968,1.717094,0,0.41335968
414.950745,1.716739,0,0.414950745
416.54184,1.716389,0,0.41654184
418.132904,1.716043,0,0.418132904
419.72403,1.715702,0,0.41972403
421.315125,1.715366,0,0.421315125
422.90625,1.715035,0,0.42290625
424.497375,1.714708,0,0.424497375
426.088531,1.714386,0,0.426088531
427.679626,1.714068,0,0.427679626
429.270813,1.713754,0,0.429270813
430.861908,1.713444,0,0.430861908
432.453064,1.713139,0,0.432453064
434.04425,1.712837,0,0.43404425
435.635345,1.71254,0,0.435635345
437.226501,1.712247,0,0.437226501
438.817688,1.711957,0,0.438817688
440.408844,1.711671,0,0.440408844
442.000061,1.711389,0,0.442000061
443.591217,1.711111,0,0.443591217
445.182373,1.710836,0,0.445182373
446.773529,1.710564,0,0.446773529
448.364685,1.710297,0,0.448364685
