nm,n,k,wl
192.414993,1.308501,1.432858,0.192414993
194.001999,1.324219,1.432973,0.194001999
195.589081,1.339232,1.43405,0.195589081
197.176178,1.353676,1.435917,0.197176178
198.763351,1.367664,1.43844,0.198763351
200.350571,1.381283,1.441514,0.200350571
201.937836,1.394606,1.445056,0.201937836
203.525162,1.407693,1.448996,0.203525162
205.112518,1.420594,1.453277,0.205112518
206.699921,1.433353,1.457854,0.206699921
208.287399,1.446004,1.462686,0.208287399
209.874908,1.45858,1.467738,0.209874908
211.462448,1.471108,1.472982,0.211462448
213.050049,1.483611,1.478392,0.213050049
214.637695,1.496111,1.483944,0.214637695
216.225388,1.508626,1.489618,0.216225388
217.813141,1.521173,1.495396,0.217813141
219.400925,1.533766,1.501261,0.219400925
220.98877,1.54642,1.507197,0.22098877
222.57663,1.559145,1.513189,0.22257663
224.164581,1.571954,1.519225,0.224164581
225.752533,1.584856,1.525291,0.225752533
227.340546,1.597859,1.531375,0.227340546
228.928619,1.610973,1.537465,0.228928619
230.516693,1.624204,1.543549,0.230516693
232.104858,1.637558,1.549617,0.232104858
233.693039,1.651043,1.555658,0.233693039
235.281281,1.664663,1.561661,0.235281281
236.869537,1.678423,1.567617,0.236869537
238.457855,1.692328,1.573514,0.238457855
240.046219,1.70638,1.579342,0.240046219
241.634598,1.720583,1.585092,0.241634598
243.223053,1.73494,1.590754,0.243223053
244.811523,1.749453,1.596318,0.244811523
246.400055,1.764123,1.601773,0.246400055
247.988602,1.778952,1.607111,0.247988602
249.577194,1.79394,1.612322,0.249577194
251.165848,1.809087,1.617395,0.251165848
252.754517,1.824394,1.622322,0.252754517
254.343231,1.839858,1.627093,0.254343231
255.932007,1.85548,1.631698,0.255932007
257.520813,1.871257,1.636128,0.257520813
259.10965,1.887188,1.640375,0.25910965
260.698517,1.903268,1.644428,0.260698517
262.287415,1.919497,1.648278,0.262287415
263.876373,1.935869,1.651917,0.263876373
265.465363,1.95238,1.655336,0.265465363
267.054382,1.969027,1.658527,0.267054382
268.643433,1.985805,1.66148,0.268643433
270.232513,2.002707,1.664188,0.270232513
271.821655,2.019728,1.666642,0.271821655
273.410828,2.036861,1.668835,0.273410828
275.000031,2.054101,1.67076,0.275000031
276.589264,2.071439,1.672409,0.276589264
278.178528,2.088868,1.673775,0.278178528
279.767822,2.106381,1.674852,0.279767822
281.357147,2.123968,1.675633,0.281357147
282.946533,2.141622,1.676113,0.282946533
284.53595,2.159332,1.676286,0.28453595
286.125366,2.17709,1.676147,0.286125366
287.714844,2.194885,1.675692,0.287714844
289.304352,2.212709,1.674916,0.289304352
290.89386,2.23055,1.673815,0.29089386
292.483459,2.248399,1.672388,0.292483459
294.073029,2.266243,1.67063,0.294073029
295.662659,2.284073,1.668539,0.295662659
297.252319,2.301877,1.666115,0.297252319
298.84201,2.319645,1.663355,0.29884201
300.431732,2.337364,1.66026,0.300431732
302.021484,2.355024,1.656829,0.302021484
303.611267,2.372613,1.653063,0.303611267
305.20105,2.390119,1.648963,0.30520105
306.790894,2.407532,1.644531,0.306790894
308.380768,2.42484,1.639768,0.308380768
309.970642,2.442032,1.634679,0.309970642
311.560577,2.459096,1.629265,0.311560577
313.150543,2.476022,1.623531,0.313150543
314.740509,2.4928,1.617481,0.314740509
316.330505,2.509418,1.611121,0.316330505
317.920532,2.525866,1.604455,0.317920532
319.51059,2.542135,1.59749,0.31951059
321.100677,2.558215,1.590231,0.321100677
322.690796,2.574096,1.582686,0.322690796
324.280914,2.58977,1.574862,0.324280914
325.871063,2.605228,1.566767,0.325871063
327.461243,2.620463,1.558407,0.327461243
329.051453,2.635465,1.549793,0.329051453
330.641693,2.650228,1.540931,0.330641693
332.231964,2.664746,1.531832,0.332231964
333.822235,2.679011,1.522504,0.333822235
335.412537,2.693018,1.512956,0.335412537
337.002869,2.706762,1.503199,0.337002869
338.593231,2.720237,1.493241,0.338593231
340.183594,2.733439,1.483093,0.340183594
341.773987,2.746364,1.472765,0.341773987
343.36441,2.759009,1.462266,0.34336441
344.954865,2.77137,1.451607,0.344954865
346.545319,2.783446,1.440798,0.346545319
348.135803,2.795234,1.429848,0.348135803
349.726288,2.806732,1.418769,0.349726288
351.316833,2.81794,1.407569,0.351316833
352.907349,2.828856,1.396258,0.352907349
354.497894,2.839481,1.384847,0.354497894
356.088501,2.849814,1.373345,0.356088501
357.679108,2.859857,1.361761,0.357679108
359.269714,2.869609,1.350105,0.359269714
360.860352,2.879073,1.338386,0.360860352
362.450989,2.888251,1.326613,0.362450989
364.041687,2.897143,1.314794,0.364041687
365.632385,2.905753,1.302938,0.365632385
367.223083,2.914082,1.291054,0.367223083
368.813782,2.922135,1.279148,0.368813782
370.404541,2.929913,1.26723,0.370404541
371.9953,2.937421,1.255306,0.3719953
373.58606,2.944661,1.243384,0.37358606
375.176849,2.951639,1.23147,0.375176849
376.767639,2.958357,1.219571,0.376767639
378.358459,2.96482,1.207695,0.378358459
379.94931,2.971032,1.195845,0.37994931
381.540161,2.976998,1.18403,0.381540161
383.131042,2.982721,1.172254,0.383131042
384.721893,2.988208,1.160522,0.384721893
386.312805,2.993462,1.14884,0.386312805
387.903687,2.998488,1.137213,0.387903687
389.494598,3.003291,1.125643,0.389494598
391.08551,3.007876,1.114138,0.39108551
392.676453,3.012248,1.102699,0.392676453
394.267426,3.016412,1.09133,0.394267426
395.858398,3.020373,1.080036,0.395858398
397.449371,3.024136,1.06882,0.397449371
399.040344,3.027706,1.057684,0.399040344
400.631348,3.031087,1.046632,0.400631348
402.222351,3.034286,1.035665,0.402222351
403.813385,3.037305,1.024787,0.403813385
405.404388,3.040151,1.013999,0.405404388
406.995422,3.042828,1.003304,0.406995422
408.586487,3.045341,0.992704,0.408586487
410.177551,3.047695,0.982199,0.410177551
411.768616,3.049895,0.971792,0.411768616
413.35968,3.051943,0.961484,0.41335968
414.950745,3.053847,0.951276,0.414950745
416.54184,3.055609,0.941168,0.41654184
418.132904,3.057233,0.931163,0.418132904
419.72403,3.058726,0.92126,0.41972403
421.315125,3.060089,0.91146,0.421315125
422.90625,3.061329,0.901764,0.42290625
424.497375,3.062448,0.892172,0.424497375
426.088531,3.06345,0.882684,0.426088531
427.679626,3.06434,0.873301,0.427679626
429.270813,3.06512,0.864022,0.429270813
430.861908,3.065796,0.854848,0.430861908
432.453064,3.06637,0.845778,0.432453064
434.04425,3.066845,0.836812,0.43404425
435.635345,3.067225,0.82795,0.435635345
437.226501,3.067515,0.819192,0.437226501
438.817688,3.067715,0.810537,0.438817688
440.408844,3.067831,0.801984,0.440408844
442.000061,3.067865,0.793533,0.442000061
443.591217,3.067819,0.785184,0.443591217
445.182373,3.067697,0.776936,0.445182373
446.773529,3.067501,0.768789,0.446773529
448.364685,3.067235,0.760741,0.448364685
449.955902,3.066901,0.752791,0.449955902
451.547058,3.066501,0.74494,0.451547058
453.138245,3.066038,0.737186,0.453138245
454.729431,3.065514,0.729528,0.454729431
456.320618,3.064932,0.721965,0.456320618
457.911774,3.064294,0.714498,0.457911774
459.502991,3.063601,0.707124,0.459502991
461.094147,3.062858,0.699842,0.461094147
462.685303,3.062064,0.692653,0.462685303
464.276459,3.061223,0.685554,0.464276459
465.867676,3.060336,0.678545,0.465867676
467.458832,3.059405,0.671625,0.467458832
469.049988,3.058432,0.664793,0.469049988
470.641174,3.057418,0.658048,0.470641174
472.23233,3.056366,0.651389,0.47223233
473.823486,3.055277,0.644814,0.473823486
475.414642,3.054153,0.638323,0.475414642
477.005768,3.052994,0.631915,0.477005768
478.596924,3.051803,0.625589,0.478596924
480.18808,3.050581,0.619343,0.48018808
481.779205,3.04933,0.613178,0.481779205
483.3703,3.04805,0.607091,0.4833703
484.961487,3.046743,0.601081,0.484961487
486.552582,3.04541,0.595149,0.486552582
488.143707,3.044053,0.589292,0.488143707
489.734802,3.042673,0.58351,0.489734802
491.325867,3.04127,0.577801,0.491325867
492.916992,3.039845,0.572165,0.492916992
494.508057,3.038401,0.566601,0.494508057
496.099182,3.036938,0.561108,0.496099182
497.690247,3.035456,0.555684,0.497690247
499.281311,3.033957,0.55033,0.499281311
500.872314,3.032442,0.545043,0.500872314
502.463379,3.030911,0.539823,0.502463379
504.054382,3.029365,0.534669,0.504054382
505.645416,3.027806,0.529581,0.505645416
507.23642,3.026233,0.524556,0.50723642
508.827454,3.024649,0.519595,0.508827454
510.418457,3.023052,0.514696,0.510418457
512.009399,3.021445,0.509859,0.512009399
513.600403,3.019828,0.505083,0.513600403
515.191345,3.018201,0.500366,0.515191345
516.782288,3.016565,0.495709,0.516782288
518.37323,3.01492,0.491109,0.51837323
519.964172,3.013268,0.486567,0.519964172
521.555054,3.011609,0.482081,0.521555054
523.145935,3.009943,0.477651,0.523145935
524.736877,3.008271,0.473276,0.524736877
526.327759,3.006593,0.468956,0.526327759
527.918579,3.00491,0.464688,0.527918579
529.509399,3.003223,0.460473,0.529509399
531.10022,3.001531,0.45631,0.53110022
532.69104,2.999835,0.452199,0.53269104
534.28186,2.998136,0.448137,0.53428186
535.872681,2.996434,0.444125,0.535872681
537.463379,2.99473,0.440163,0.537463379
539.054138,2.993022,0.436248,0.539054138
540.644897,2.991313,0.432382,0.540644897
542.235596,2.989603,0.428562,0.542235596
543.826294,2.987891,0.424788,0.543826294
545.416992,2.986179,0.421061,0.545416992
547.00769,2.984465,0.417378,0.54700769
548.598267,2.982752,0.413739,0.548598267
550.188904,2.981038,0.410145,0.550188904
551.779541,2.979325,0.406593,0.551779541
553.370117,2.977612,0.403084,0.553370117
554.960693,2.975899,0.399617,0.554960693
556.55127,2.974188,0.396191,0.55655127
558.141785,2.972478,0.392806,0.558141785
559.7323,2.970769,0.389462,0.5597323
561.322815,2.969062,0.386157,0.561322815
562.913269,2.967357,0.382891,0.562913269
564.503723,2.965654,0.379664,0.564503723
566.094116,2.963953,0.376474,0.566094116
567.68457,2.962254,0.373323,0.56768457
569.274963,2.960558,0.370208,0.569274963
570.865295,2.958865,0.36713,0.570865295
572.455688,2.957174,0.364088,0.572455688
574.045959,2.955487,0.361082,0.574045959
575.636292,2.953803,0.35811,0.575636292
577.226501,2.952122,0.355174,0.577226501
578.816772,2.950445,0.352271,0.578816772
580.406982,2.948771,0.349402,0.580406982
581.997192,2.947101,0.346566,0.581997192
583.587341,2.945435,0.343763,0.583587341
585.177551,2.943772,0.340993,0.585177551
586.767639,2.942114,0.338254,0.586767639
588.357788,2.94046,0.335547,0.588357788
589.947815,2.93881,0.332871,0.589947815
591.537842,2.937165,0.330226,0.591537842
593.127869,2.935524,0.327611,0.593127869
594.717896,2.933887,0.325026,0.594717896
596.307861,2.932255,0.32247,0.596307861
597.897766,2.930628,0.319944,0.597897766
599.487671,2.929006,0.317446,0.599487671
601.077576,2.927388,0.314977,0.601077576
602.667419,2.925775,0.312536,0.602667419
604.257202,2.924168,0.310122,0.604257202
605.847046,2.922565,0.307736,0.605847046
607.436829,2.920967,0.305377,0.607436829
609.02655,2.919375,0.303044,0.60902655
610.616272,2.917788,0.300738,0.610616272
612.205933,2.916206,0.298458,0.612205933
613.795532,2.914629,0.296203,0.613795532
615.385193,2.913058,0.293974,0.615385193
616.974731,2.911492,0.29177,0.616974731
618.564331,2.909931,0.28959,0.618564331
620.15387,2.908376,0.287435,0.62015387
621.743347,2.906826,0.285305,0.621743347
623.332825,2.905282,0.283197,0.623332825
624.922241,2.903744,0.281114,0.624922241
626.511597,2.902211,0.279054,0.626511597
628.100952,2.900684,0.277017,0.628100952
629.690308,2.899163,0.275002,0.629690308
631.279602,2.897647,0.27301,0.631279602
632.868835,2.896137,0.27104,0.632868835
634.458069,2.894633,0.269092,0.634458069
636.047241,2.893134,0.267166,0.636047241
637.636353,2.891641,0.265261,0.637636353
639.225464,2.890154,0.263377,0.639225464
640.814575,2.888673,0.261514,0.640814575
