nm,n,k,wl
290.89386,2.266782,0.152264,0.29089386
292.483459,2.267786,0.153772,0.292483459
294.073029,2.268808,0.153603,0.294073029
295.662659,2.269533,0.152085,0.295662659
297.252319,2.26977,0.149523,0.297252319
298.84201,2.269405,0.146194,0.29884201
300.431732,2.268383,0.142356,0.300431732
302.021484,2.266696,0.138246,0.302021484
303.611267,2.264382,0.134086,0.303611267
305.20105,2.261529,0.13008,0.30520105
306.790894,2.258307,0.126408,0.306790894
308.380768,2.254948,0.123095,0.308380768
309.970642,2.251579,0.120081,0.309970642
311.560577,2.248274,0.117307,0.311560577
313.150543,2.245076,0.114719,0.313150543
314.740509,2.242012,0.112268,0.314740509
316.330505,2.239096,0.109906,0.316330505
317.920532,2.236329,0.107591,0.317920532
319.51059,2.233703,0.105282,0.31951059
321.100677,2.231199,0.102939,0.321100677
322.690796,2.228784,0.100529,0.322690796
324.280914,2.226401,0.098038,0.324280914
325.871063,2.224009,0.095489,0.325871063
327.461243,2.221585,0.092904,0.327461243
329.051453,2.219118,0.090308,0.329051453
330.641693,2.216601,0.08772,0.330641693
332.231964,2.21403,0.08516,0.332231964
333.822235,2.211408,0.082647,0.333822235
335.412537,2.208737,0.080198,0.335412537
337.002869,2.206026,0.077829,0.337002869
338.593231,2.203285,0.075556,0.338593231
340.183594,2.200529,0.073394,0.340183594
341.773987,2.197781,0.071354,0.341773987
343.36441,2.195072,0.069429,0.34336441
344.954865,2.192418,0.067605,0.344954865
346.545319,2.189829,0.065868,0.346545319
348.135803,2.187309,0.064205,0.348135803
349.726288,2.184863,0.062603,0.349726288
351.316833,2.182491,0.06105,0.351316833
352.907349,2.180193,0.059534,0.352907349
354.497894,2.177967,0.058045,0.354497894
356.088501,2.175808,0.056572,0.356088501
357.679108,2.173712,0.055106,0.357679108
359.269714,2.171672,0.053638,0.359269714
360.860352,2.169677,0.052158,0.360860352
362.450989,2.167713,0.050661,0.362450989
364.041687,2.165765,0.049147,0.364041687
365.632385,2.163821,0.047625,0.365632385
367.223083,2.161877,0.046101,0.367223083
368.813782,2.159926,0.044581,0.368813782
370.404541,2.157967,0.043071,0.370404541
371.9953,2.155998,0.041576,0.3719953
373.58606,2.154016,0.040102,0.37358606
375.176849,2.152023,0.038654,0.375176849
376.767639,2.150018,0.037237,0.376767639
378.358459,2.148003,0.035854,0.378358459
379.94931,2.145978,0.03451,0.37994931
381.540161,2.143948,0.03321,0.381540161
383.131042,2.141914,0.031956,0.383131042
384.721893,2.13988,0.030753,0.384721893
386.312805,2.137855,0.029603,0.386312805
387.903687,2.135843,0.028504,0.387903687
389.494598,2.133848,0.027453,0.389494598
391.08551,2.131873,0.026447,0.39108551
392.676453,2.129919,0.025486,0.392676453
394.267426,2.127989,0.024567,0.394267426
395.858398,2.126083,0.023687,0.395858398
397.449371,2.124202,0.022845,0.397449371
399.040344,2.122348,0.022039,0.399040344
400.631348,2.120521,0.021267,0.400631348
402.222351,2.118722,0.020527,0.402222351
403.813385,2.11695,0.019818,0.403813385
405.404388,2.115207,0.019138,0.405404388
406.995422,2.113492,0.018486,0.406995422
408.586487,2.111805,0.017859,0.408586487
410.177551,2.110146,0.017257,0.410177551
411.768616,2.108516,0.016679,0.411768616
413.35968,2.106915,0.016122,0.41335968
414.950745,2.105342,0.015585,0.414950745
416.54184,2.103797,0.015067,0.41654184
418.132904,2.102279,0.014566,0.418132904
419.72403,2.100789,0.014081,0.41972403
421.315125,2.099326,0.013611,0.421315125
422.90625,2.097889,0.013155,0.42290625
424.497375,2.096478,0.012711,0.424497375
426.088531,2.095091,0.012278,0.426088531
427.679626,2.09373,0.011855,0.427679626
429.270813,2.092392,0.011441,0.429270813
430.861908,2.091077,0.011036,0.430861908
432.453064,2.089783,0.010637,0.432453064
434.04425,2.088511,0.010245,0.43404425
435.635345,2.08726,0.009858,0.435635345
437.226501,2.086027,0.009475,0.437226501
438.817688,2.084813,0.009095,0.438817688
440.408844,2.083614,0.008719,0.440408844
442.000061,2.082431,0.008344,0.442000061
443.591217,2.08126,0.007971,0.443591217
445.182373,2.080101,0.007601,0.445182373
446.773529,2.07895,0.007235,0.446773529
448.364685,2.077809,0.006873,0.448364685
449.955902,2.076677,0.006516,0.449955902
451.547058,2.075552,0.006165,0.451547058
453.138245,2.074434,0.005821,0.453138245
454.729431,2.073323,0.005484,0.454729431
456.320618,2.07222,0.005154,0.456320618
457.911774,2.071122,0.004833,0.457911774
459.502991,2.070032,0.004521,0.459502991
461.094147,2.068948,0.004218,0.461094147
462.685303,2.06787,0.003926,0.462685303
464.276459,2.066799,0.003644,0.464276459
465.867676,2.065735,0.003373,0.465867676
467.458832,2.064679,0.003113,0.467458832
469.049988,2.063629,0.002865,0.469049988
470.641174,2.062587,0.00263,0.470641174
472.23233,2.061554,0.002407,0.47223233
473.823486,2.060529,0.002198,0.473823486
475.414642,2.059513,0.002001,0.475414642
477.005768,2.058507,0.001819,0.477005768
478.596924,2.057513,0.00165,0.478596924
480.18808,2.056532,0.001494,0.48018808
481.779205,2.055563,0.00135,0.481779205
483.3703,2.054607,0.001218,0.4833703
484.961487,2.053665,0.001096,0.484961487
486.552582,2.052737,0.000986,0.486552582
488.143707,2.051824,0.000884,0.488143707
489.734802,2.050924,0.000792,0.489734802
491.325867,2.050038,0.000708,0.491325867
492.916992,2.049167,0.000632,0.492916992
494.508057,2.04831,0.000564,0.494508057
496.099182,2.047467,0.000502,0.496099182
497.690247,2.046638,0.000447,0.497690247
499.281311,2.045823,0.000398,0.499281311
500.872314,2.045022,0.000354,0.500872314
502.463379,2.044234,0.000315,0.502463379
504.054382,2.04346,0.000281,0.504054382
505.645416,2.0427,0.00025,0.505645416
507.23642,2.041952,0.000223,0.50723642
508.827454,2.041217,0.0002,0.508827454
510.418457,2.040495,0.000179,0.510418457
512.009399,2.039786,0.000161,0.512009399
513.600403,2.039088,0.000145,0.513600403
515.191345,2.038402,0.000131,0.515191345
516.782288,2.037728,0.000118,0.516782288
518.37323,2.037064,0.000106,0.51837323
519.964172,2.036412,0.000095,0.519964172
521.555054,2.035769,0.000085,0.521555054
523.145935,2.035136,0.000076,0.523145935
524.736877,2.034512,0.000067,0.524736877
526.327759,2.033898,0.000059,0.526327759
