nm,n,k,wl
192.414993,1.567682,0,0.192414993
194.001999,1.565213,0,0.194001999
195.589081,1.562832,0,0.195589081
197.176178,1.560534,0,0.197176178
198.763351,1.558316,0,0.198763351
200.350571,1.556173,0,0.200350571
201.937836,1.554101,0,0.201937836
203.525162,1.552099,0,0.203525162
205.112518,1.55016,0,0.205112518
206.699921,1.548285,0,0.206699921
208.287399,1.546468,0,0.208287399
209.874908,1.544708,0,0.209874908
211.462448,1.543003,0,0.211462448
213.050049,1.541349,0,0.213050049
214.637695,1.539745,0,0.214637695
216.225388,1.538189,0,0.216225388
217.813141,1.536678,0,0.217813141
219.400925,1.535211,0,0.219400925
220.98877,1.533787,0,0.22098877
222.57663,1.532402,0,0.22257663
224.164581,1.531056,0,0.224164581
225.752533,1.529748,0,0.225752533
227.340546,1.528476,0,0.227340546
228.928619,1.527238,0,0.228928619
230.516693,1.526032,0,0.230516693
232.104858,1.524859,0,0.232104858
233.693039,1.523716,0,0.233693039
235.281281,1.522603,0,0.235281281
236.869537,1.521519,0,0.236869537
238.457855,1.520462,0,0.238457855
240.046219,1.519432,0,0.240046219
241.634598,1.518427,0,0.241634598
243.223053,1.517447,0,0.243223053
244.811523,1.516491,0,0.244811523
246.400055,1.515558,0,0.246400055
247.988602,1.514647,0,0.247988602
249.577194,1.513759,0,0.249577194
251.165848,1.51289,0,0.251165848
252.754517,1.512042,0,0.252754517
254.343231,1.511214,0,0.254343231
255.932007,1.510404,0,0.255932007
257.520813,1.509612,0,0.257520813
259.10965,1.508839,0,0.25910965
260.698517,1.508083,0,0.260698517
262.287415,1.507343,0,0.262287415
263.876373,1.506619,0,0.263876373
265.465363,1.505911,0,0.265465363
267.054382,1.505219,0,0.267054382
268.643433,1.50454,0,0.268643433
270.232513,1.503876,0,0.270232513
271.821655,1.503227,0,0.271821655
273.410828,1.50259,0,0.273410828
275.000031,1.501967,0,0.275000031
276.589264,1.501356,0,0.276589264
278.178528,1.500758,0,0.278178528
279.767822,1.500172,0,0.279767822
281.357147,1.499597,0,0.281357147
282.946533,1.499034,0,0.282946533
284.53595,1.498482,0,0.28453595
286.125366,1.497941,0,0.286125366
287.714844,1.49741,0,0.287714844
289.304352,1.496889,0,0.289304352
290.89386,1.496378,0,0.29089386
292.483459,1.495878,0,0.292483459
294.073029,1.495385,0,0.294073029
295.662659,1.494903,0,0.295662659
297.252319,1.494429,0,0.297252319
298.84201,1.493963,0,0.29884201
300.431732,1.493507,0,0.300431732
302.021484,1.493059,0,0.302021484
303.611267,1.492619,0,0.303611267
305.20105,1.492187,0,0.30520105
306.790894,1.491762,0,0.306790894
308.380768,1.491344,0,0.308380768
309.970642,1.490934,0,0.309970642
311.560577,1.490531,0,0.311560577
313.150543,1.490135,0,0.313150543
314.740509,1.489746,0,0.314740509
316.330505,1.489364,0,0.316330505
317.920532,1.488988,0,0.317920532
319.51059,1.488618,0,0.31951059
321.100677,1.488255,0,0.321100677
322.690796,1.487897,0,0.322690796
324.280914,1.487546,0,0.324280914
325.871063,1.4872,0,0.325871063
327.461243,1.486859,0,0.327461243
329.051453,1.486524,0,0.329051453
330.641693,1.486194,0,0.330641693
332.231964,1.48587,0,0.332231964
333.822235,1.485552,0,0.333822235
335.412537,1.485238,0,0.335412537
337.002869,1.484928,0,0.337002869
338.593231,1.484624,0,0.338593231
340.183594,1.484324,0,0.340183594
341.773987,1.484029,0,0.341773987
343.36441,1.483738,0,0.34336441
344.954865,1.483452,0,0.344954865
346.545319,1.48317,0,0.346545319
348.135803,1.482893,0,0.348135803
349.726288,1.482619,0,0.349726288
351.316833,1.48235,0,0.351316833
352.907349,1.482084,0,0.352907349
354.497894,1.481822,0,0.354497894
356.088501,1.481565,0,0.356088501
357.679108,1.481311,0,0.357679108
359.269714,1.481061,0,0.359269714
360.860352,1.480813,0,0.360860352
362.450989,1.48057,0,0.362450989
364.041687,1.48033,0,0.364041687
365.632385,1.480093,0,0.365632385
367.223083,1.479861,0,0.367223083
368.813782,1.47963,0,0.368813782
370.404541,1.479404,0,0.370404541
371.9953,1.47918,0,0.3719953
373.58606,1.478959,0,0.37358606
375.176849,1.478742,0,0.375176849
376.767639,1.478527,0,0.376767639
378.358459,1.478315,0,0.378358459
379.94931,1.478106,0,0.37994931
381.540161,1.4779,0,0.381540161
383.131042,1.477696,0,0.383131042
384.721893,1.477496,0,0.384721893
386.312805,1.477298,0,0.386312805
387.903687,1.477102,0,0.387903687
389.494598,1.476909,0,0.389494598
391.08551,1.476718,0,0.39108551
392.676453,1.47653,0,0.392676453
394.267426,1.476344,0,0.394267426
395.858398,1.476161,0,0.395858398
397.449371,1.475979,0,0.397449371
399.040344,1.475801,0,0.399040344
400.631348,1.475624,0,0.400631348
402.222351,1.47545,0,0.402222351
403.813385,1.475277,0,0.403813385
405.404388,1.475108,0,0.405404388
