nm,n,k,wl
192.414993,0.885992,2.664065,0.192414993
194.001999,0.905846,2.691456,0.194001999
195.589081,0.92533,2.719044,0.195589081
197.176178,0.944537,2.746931,0.197176178
198.763351,0.963565,2.7752,0.198763351
200.350571,0.982519,2.803914,0.200350571
201.937836,1.001505,2.833125,0.201937836
203.525162,1.020633,2.862878,0.203525162
205.112518,1.040007,2.89319,0.205112518
206.699921,1.059727,2.924078,0.206699921
208.287399,1.079901,2.955567,0.208287399
209.874908,1.100624,2.987618,0.209874908
211.462448,1.122004,3.020227,0.211462448
213.050049,1.144115,3.05337,0.213050049
214.637695,1.167078,3.087037,0.214637695
216.225388,1.190977,3.121193,0.216225388
217.813141,1.215906,3.155848,0.217813141
219.400925,1.241963,3.191034,0.219400925
220.98877,1.269235,3.22689,0.22098877
222.57663,1.297918,3.263884,0.22257663
224.164581,1.329014,3.303039,0.224164581
225.752533,1.365771,3.344848,0.225752533
227.340546,1.413124,3.385611,0.227340546
228.928619,1.471564,3.415818,0.228928619
230.516693,1.531853,3.4274,0.230516693
232.104858,1.580459,3.422667,0.232104858
233.693039,1.611406,3.413125,0.233693039
235.281281,1.628137,3.408336,0.235281281
236.869537,1.63675,3.411951,0.236869537
238.457855,1.641842,3.42312,0.238457855
240.046219,1.64534,3.440748,0.240046219
241.634598,1.648116,3.463651,0.241634598
243.223053,1.650547,3.491426,0.243223053
244.811523,1.652899,3.523861,0.244811523
246.400055,1.655428,3.560895,0.246400055
247.988602,1.658444,3.602659,0.247988602
249.577194,1.662366,3.649439,0.249577194
251.165848,1.667699,3.70136,0.251165848
252.754517,1.67504,3.758576,0.252754517
254.343231,1.685071,3.821189,0.254343231
255.932007,1.698529,3.889215,0.255932007
257.520813,1.716182,3.962577,0.257520813
259.10965,1.738804,4.041099,0.25910965
260.698517,1.767156,4.124516,0.260698517
262.287415,1.801959,4.212498,0.262287415
263.876373,1.84388,4.304666,0.263876373
265.465363,1.893653,4.400751,0.265465363
267.054382,1.951909,4.500546,0.267054382
268.643433,2.019313,4.604094,0.268643433
270.232513,2.097262,4.711835,0.270232513
271.821655,2.189041,4.824158,0.271821655
273.410828,2.299442,4.9392,0.273410828
275.000031,2.432191,5.051097,0.275000031
276.589264,2.588083,5.149961,0.276589264
278.178528,2.75813,5.228891,0.278178528
279.767822,2.932006,5.289742,0.279767822
281.357147,3.106833,5.343126,0.281357147
282.946533,3.29255,5.396521,0.282946533
284.53595,3.503968,5.443365,0.28453595
286.125366,3.746781,5.464242,0.286125366
287.714844,4.010012,5.440806,0.287714844
289.304352,4.272577,5.359038,0.289304352
290.89386,4.511332,5.226802,0.29089386
292.483459,4.709985,5.057553,0.292483459
294.073029,4.859834,4.86934,0.294073029
295.662659,4.966291,4.68012,0.295662659
297.252319,5.036901,4.500725,0.297252319
298.84201,5.080161,4.337245,0.29884201
300.431732,5.104175,4.192074,0.300431732
302.021484,5.116187,4.064267,0.302021484
303.611267,5.120891,3.952264,0.303611267
305.20105,5.121582,3.85404,0.30520105
306.790894,5.120441,3.767531,0.306790894
308.380768,5.11886,3.69087,0.308380768
309.970642,5.117696,3.622452,0.309970642
311.560577,5.117469,3.560948,0.311560577
313.150543,5.118482,3.505259,0.313150543
314.740509,5.120879,3.454421,0.314740509
316.330505,5.12471,3.407682,0.316330505
317.920532,5.129967,3.364463,0.317920532
319.51059,5.13659,3.324248,0.31951059
321.100677,5.144495,3.286639,0.321100677
322.690796,5.153595,3.251333,0.322690796
324.280914,5.163803,3.218102,0.324280914
325.871063,5.175049,3.18678,0.325871063
327.461243,5.187279,3.157257,0.327461243
329.051453,5.200466,3.129466,0.329051453
330.641693,5.214614,3.103388,0.330641693
332.231964,5.2298,3.0791,0.332231964
333.822235,5.246053,3.056543,0.333822235
335.412537,5.263478,3.035753,0.335412537
337.002869,5.282208,3.016773,0.337002869
338.593231,5.302546,2.999787,0.338593231
340.183594,5.324661,2.984765,0.340183594
341.773987,5.348776,2.971723,0.341773987
343.36441,5.375299,2.960817,0.34336441
344.954865,5.404708,2.9522,0.344954865
346.545319,5.437253,2.945867,0.346545319
348.135803,5.473758,2.942178,0.348135803
349.726288,5.515224,2.941465,0.349726288
351.316833,5.56246,2.943797,0.351316833
352.907349,5.618594,2.94976,0.352907349
354.497894,5.685415,2.958499,0.354497894
356.088501,5.767352,2.968593,0.356088501
357.679108,5.868853,2.975918,0.357679108
359.269714,5.992447,2.974321,0.359269714
360.860352,6.140812,2.952079,0.360860352
362.450989,6.307576,2.900817,0.362450989
364.041687,6.483548,2.805631,0.364041687
365.632385,6.653418,2.667558,0.365632385
367.223083,6.798016,2.484499,0.367223083
368.813782,6.906654,2.2706,0.368813782
370.404541,6.969382,2.039707,0.370404541
371.9953,6.986421,1.807474,0.3719953
373.58606,6.966076,1.586139,0.37358606
375.176849,6.912063,1.386264,0.375176849
376.767639,6.838715,1.207441,0.376767639
378.358459,6.750803,1.053787,0.378358459
379.94931,6.655492,0.921544,0.37994931
381.540161,6.556934,0.807292,0.381540161
383.131042,6.45782,0.712651,0.383131042
384.721893,6.360118,0.631597,0.384721893
386.312805,6.264979,0.562654,0.386312805
387.903687,6.1741,0.506175,0.387903687
389.494598,6.087277,0.458343,0.389494598
391.08551,6.004843,0.417962,0.39108551
392.676453,5.927744,0.384771,0.392676453
394.267426,5.85546,0.35687,0.394267426
395.858398,5.787674,0.333104,0.395858398
397.449371,5.724254,0.312728,0.397449371
399.040344,5.665608,0.295428,0.399040344
400.631348,5.61066,0.280108,0.400631348
402.222351,5.559094,0.266334,0.402222351
403.813385,5.510591,0.253765,0.403813385
405.404388,5.465096,0.242221,0.405404388
406.995422,5.422123,0.231433,0.406995422
408.586487,5.381259,0.221226,0.408586487
410.177551,5.342276,0.211517,0.410177551
411.768616,5.304983,0.202252,0.411768616
413.35968,5.269236,0.193404,0.41335968
414.950745,5.23502,0.184989,0.414950745
416.54184,5.202044,0.176938,0.41654184
418.132904,5.170214,0.169241,0.418132904
419.72403,5.139451,0.161886,0.41972403
421.315125,5.109684,0.154864,0.421315125
422.90625,5.080854,0.148164,0.42290625
424.497375,5.052908,0.141778,0.424497375
426.088531,5.025797,0.135693,0.426088531
427.679626,4.999529,0.12992,0.427679626
429.270813,4.974021,0.124431,0.429270813
430.861908,4.949224,0.11921,0.430861908
432.453064,4.925108,0.114248,0.432453064
434.04425,4.901644,0.109535,0.43404425
435.635345,4.878806,0.10506,0.435635345
437.226501,4.856565,0.100814,0.437226501
438.817688,4.834904,0.096788,0.438817688
440.408844,4.813798,0.092971,0.440408844
442.000061,4.793228,0.089356,0.442000061
443.591217,4.773175,0.085933,0.443591217
445.182373,4.75362,0.082693,0.445182373
446.773529,4.734548,0.079628,0.446773529
448.364685,4.715941,0.076729,0.448364685
449.955902,4.697785,0.073989,0.449955902
451.547058,4.680065,0.0714,0.451547058
453.138245,4.662766,0.068955,0.453138245
454.729431,4.645877,0.066645,0.454729431
456.320618,4.629384,0.064465,0.456320618
