nm,n,k,wl
302.021484,2.488376,0,0.302021484
303.611267,2.481504,0,0.303611267
305.20105,2.474794,0,0.30520105
306.790894,2.468242,0,0.306790894
308.380768,2.461843,0,0.308380768
309.970642,2.455593,0,0.309970642
311.560577,2.449486,0,0.311560577
313.150543,2.44352,0,0.313150543
314.740509,2.43769,0,0.314740509
316.330505,2.431991,0,0.316330505
317.920532,2.426422,0,0.317920532
319.51059,2.420977,0,0.31951059
321.100677,2.415653,0,0.321100677
322.690796,2.410448,0,0.322690796
324.280914,2.405357,0,0.324280914
325.871063,2.400378,0,0.325871063
327.461243,2.395507,0,0.327461243
329.051453,2.390742,0,0.329051453
330.641693,2.386079,0,0.330641693
332.231964,2.381516,0,0.332231964
333.822235,2.377051,0,0.333822235
335.412537,2.37268,0,0.335412537
337.002869,2.368401,0,0.337002869
338.593231,2.364212,0,0.338593231
340.183594,2.360111,0,0.340183594
341.773987,2.356094,0,0.341773987
343.36441,2.35216,0,0.34336441
344.954865,2.348307,0,0.344954865
346.545319,2.344533,0,0.346545319
348.135803,2.340835,0,0.348135803
349.726288,2.337212,0,0.349726288
351.316833,2.333662,0,0.351316833
352.907349,2.330182,0,0.352907349
354.497894,2.326772,0,0.354497894
356.088501,2.323429,0,0.356088501
357.679108,2.320152,0,0.357679108
359.269714,2.316939,0,0.359269714
360.860352,2.313789,0,0.360860352
362.450989,2.310699,0,0.362450989
364.041687,2.307669,0,0.364041687
365.632385,2.304698,0,0.365632385
367.223083,2.301782,0,0.367223083
368.813782,2.298923,0,0.368813782
370.404541,2.296117,0,0.370404541
371.9953,2.293364,0,0.3719953
373.58606,2.290662,0,0.37358606
375.176849,2.288011,0,0.375176849
376.767639,2.285408,0,0.376767639
378.358459,2.282854,0,0.378358459
379.94931,2.280346,0,0.37994931
381.540161,2.277884,0,0.381540161
383.131042,2.275467,0,0.383131042
384.721893,2.273093,0,0.384721893
386.312805,2.270762,0,0.386312805
387.903687,2.268473,0,0.387903687
389.494598,2.266224,0,0.389494598
391.08551,2.264016,0,0.39108551
392.676453,2.261846,0,0.392676453
394.267426,2.259714,0,0.394267426
395.858398,2.257619,0,0.395858398
397.449371,2.255561,0,0.397449371
399.040344,2.253539,0,0.399040344
400.631348,2.251551,0,0.400631348
402.222351,2.249597,0,0.402222351
403.813385,2.247677,0,0.403813385
405.404388,2.245789,0,0.405404388
406.995422,2.243933,0,0.406995422
408.586487,2.242108,0,0.408586487
410.177551,2.240314,0,0.410177551
411.768616,2.238549,0,0.411768616
413.35968,2.236814,0,0.41335968
414.950745,2.235107,0,0.414950745
416.54184,2.233429,0,0.41654184
418.132904,2.231778,0,0.418132904
419.72403,2.230154,0,0.41972403
421.315125,2.228555,0,0.421315125
422.90625,2.226983,0,0.42290625
424.497375,2.225436,0,0.424497375
426.088531,2.223914,0,0.426088531
427.679626,2.222416,0,0.427679626
429.270813,2.220942,0,0.429270813
430.861908,2.219491,0,0.430861908
432.453064,2.218063,0,0.432453064
434.04425,2.216657,0,0.43404425
435.635345,2.215273,0,0.435635345
437.226501,2.213911,0,0.437226501
438.817688,2.212569,0,0.438817688
440.408844,2.211248,0,0.440408844
442.000061,2.209947,0,0.442000061
443.591217,2.208666,0,0.443591217
445.182373,2.207405,0,0.445182373
446.773529,2.206162,0,0.446773529
