nm,n,k,wl
286.125366,2.507702,1.367771,0.286125366
287.714844,2.502604,1.366676,0.287714844
289.304352,2.497957,1.365598,0.289304352
290.89386,2.493713,1.364546,0.29089386
292.483459,2.489835,1.363524,0.292483459
294.073029,2.486296,1.362531,0.294073029
295.662659,2.483072,1.361562,0.295662659
297.252319,2.480144,1.360616,0.297252319
298.84201,2.477496,1.359685,0.29884201
300.431732,2.475115,1.358764,0.300431732
302.021484,2.472989,1.357846,0.302021484
303.611267,2.47111,1.356925,0.303611267
305.20105,2.469471,1.355991,0.30520105
306.790894,2.468067,1.355037,0.306790894
308.380768,2.466899,1.354052,0.308380768
309.970642,2.465972,1.353023,0.309970642
311.560577,2.465297,1.351922,0.311560577
313.150543,2.464864,1.350708,0.313150543
314.740509,2.464658,1.349346,0.314740509
316.330505,2.464653,1.347809,0.316330505
317.920532,2.464825,1.346071,0.317920532
319.51059,2.465147,1.34411,0.31951059
321.100677,2.465589,1.341909,0.321100677
322.690796,2.466123,1.339452,0.322690796
324.280914,2.466717,1.336724,0.324280914
325.871063,2.46734,1.333716,0.325871063
327.461243,2.467961,1.330418,0.327461243
329.051453,2.468545,1.326823,0.329051453
330.641693,2.469058,1.322928,0.330641693
332.231964,2.469465,1.318728,0.332231964
333.822235,2.469728,1.314226,0.333822235
335.412537,2.469804,1.309422,0.335412537
337.002869,2.469646,1.304325,0.337002869
338.593231,2.469194,1.298959,0.338593231
340.183594,2.468407,1.293376,0.340183594
341.773987,2.467269,1.287626,0.341773987
343.36441,2.46577,1.281751,0.34336441
344.954865,2.463908,1.275788,0.344954865
346.545319,2.461682,1.26977,0.346545319
348.135803,2.459097,1.263729,0.348135803
349.726288,2.456156,1.257692,0.349726288
351.316833,2.452868,1.251685,0.351316833
352.907349,2.449239,1.245731,0.352907349
354.497894,2.44528,1.239852,0.354497894
356.088501,2.441001,1.234068,0.356088501
357.679108,2.436414,1.228397,0.357679108
359.269714,2.431531,1.222856,0.359269714
360.860352,2.426366,1.217461,0.360860352
362.450989,2.420932,1.212225,0.362450989
364.041687,2.415246,1.207161,0.364041687
365.632385,2.409324,1.202282,0.365632385
367.223083,2.403185,1.197596,0.367223083
368.813782,2.396848,1.193112,0.368813782
370.404541,2.390338,1.188836,0.370404541
371.9953,2.383683,1.184762,0.3719953
373.58606,2.376899,1.180875,0.37358606
375.176849,2.369997,1.177164,0.375176849
376.767639,2.362983,1.173619,0.376767639
378.358459,2.355862,1.17023,0.378358459
379.94931,2.348639,1.16699,0.37994931
381.540161,2.341315,1.163893,0.381540161
383.131042,2.333892,1.160931,0.383131042
384.721893,2.32637,1.158098,0.384721893
386.312805,2.318751,1.155391,0.386312805
387.903687,2.311033,1.152803,0.387903687
389.494598,2.303216,1.150331,0.389494598
391.08551,2.295297,1.147972,0.39108551
392.676453,2.287275,1.14572,0.392676453
394.267426,2.279147,1.143575,0.394267426
395.858398,2.270911,1.141533,0.395858398
397.449371,2.262563,1.139593,0.397449371
399.040344,2.254099,1.137752,0.399040344
400.631348,2.245514,1.13601,0.400631348
402.222351,2.236804,1.134365,0.402222351
403.813385,2.227962,1.132819,0.403813385
405.404388,2.218983,1.13137,0.405404388
406.995422,2.209858,1.130021,0.406995422
408.586487,2.200579,1.128773,0.408586487
410.177551,2.191134,1.127631,0.410177551
411.768616,2.181507,1.126604,0.411768616
413.35968,2.17169,1.125714,0.41335968
414.950745,2.161683,1.124976,0.414950745
416.54184,2.151487,1.124406,0.41654184
418.132904,2.141104,1.12402,0.418132904
419.72403,2.13054,1.12383,0.41972403
421.315125,2.119801,1.123848,0.421315125
422.90625,2.108891,1.124088,0.42290625
424.497375,2.097819,1.12456,0.424497375
426.088531,2.086593,1.125274,0.426088531
427.679626,2.075221,1.126241,0.427679626
429.270813,2.063713,1.12747,0.429270813
430.861908,2.052078,1.12897,0.430861908
432.453064,2.040328,1.13075,0.432453064
434.04425,2.028471,1.132816,0.43404425
435.635345,2.016523,1.135176,0.435635345
437.226501,2.004492,1.137837,0.437226501
438.817688,1.992393,1.140804,0.438817688
440.408844,1.980239,1.144083,0.440408844
442.000061,1.968043,1.14768,0.442000061
443.591217,1.95582,1.151597,0.443591217
445.182373,1.943586,1.155839,0.445182373
446.773529,1.931355,1.160407,0.446773529
448.364685,1.919143,1.165303,0.448364685
449.955902,1.906969,1.17053,0.449955902
451.547058,1.894849,1.176085,0.451547058
453.138245,1.882802,1.181968,0.453138245
454.729431,1.870848,1.188177,0.454729431
456.320618,1.859006,1.194707,0.456320618
457.911774,1.8473,1.201553,0.457911774
459.502991,1.835752,1.208706,0.459502991
461.094147,1.824394,1.216151,0.461094147
462.685303,1.813246,1.223857,0.462685303
464.276459,1.802318,1.231799,0.464276459
465.867676,1.791615,1.239952,0.465867676
467.458832,1.781141,1.248292,0.467458832
469.049988,1.770898,1.256798,0.469049988
470.641174,1.760884,1.26545,0.470641174
472.23233,1.751098,1.274229,0.47223233
473.823486,1.741536,1.283117,0.473823486
475.414642,1.732195,1.292099,0.475414642
477.005768,1.723069,1.301157,0.477005768
478.596924,1.714152,1.310277,0.478596924
480.18808,1.705437,1.319446,0.48018808
481.779205,1.696918,1.328651,0.481779205
483.3703,1.688585,1.337879,0.4833703
484.961487,1.680431,1.347121,0.484961487
