nm,n,k,wl
395.858398,2.479847,0.051748,0.397449371
397.449371,2.474452,0.048975,0.399040344
399.040344,2.469164,0.04637,0.400631348
400.631348,2.463985,0.043924,0.402222351
402.222351,2.458915,0.04163,0.403813385
403.813385,2.453955,0.039479,0.405404388
405.404388,2.449105,0.037465,0.406995422
406.995422,2.444366,0.03558,0.408586487
408.586487,2.439738,0.033817,0.410177551
410.177551,2.43522,0.032169,0.411768616
411.768616,2.430811,0.03063,0.41335968
413.35968,2.426512,0.029193,0.414950745
414.950745,2.422321,0.027852,0.41654184
416.54184,2.418237,0.026601,0.418132904
418.132904,2.41426,0.025435,0.41972403
419.72403,2.410387,0.024347,0.421315125
421.315125,2.406618,0.023332,0.42290625
422.90625,2.402951,0.022385,0.424497375
424.497375,2.399384,0.021501,0.426088531
426.088531,2.395916,0.020675,0.427679626
427.679626,2.392544,0.019901,0.429270813
429.270813,2.389267,0.019177,0.430861908
430.861908,2.386082,0.018496,0.432453064
432.453064,2.382988,0.017854,0.43404425
434.04425,2.379982,0.017249,0.435635345
435.635345,2.37706,0.016674,0.437226501
437.226501,2.374222,0.016128,0.438817688
438.817688,2.371463,0.015605,0.440408844
440.408844,2.368781,0.015102,0.442000061
442.000061,2.366173,0.014616,0.443591217
443.591217,2.363634,0.014143,0.445182373
445.182373,2.361161,0.01368,0.446773529
446.773529,2.358748,0.013226,0.448364685
448.364685,2.35639,0.01278,0.449955902
449.955902,2.354085,0.012342,0.451547058
451.547058,2.35183,0.011913,0.453138245
453.138245,2.349622,0.011493,0.454729431
454.729431,2.347458,0.011081,0.456320618
456.320618,2.345338,0.010677,0.457911774
457.911774,2.343259,0.010282,0.459502991
459.502991,2.34122,0.009896,0.461094147
461.094147,2.339218,0.009518,0.462685303
462.685303,2.337254,0.009148,0.464276459
464.276459,2.335324,0.008787,0.465867676
465.867676,2.333428,0.008435,0.467458832
467.458832,2.331566,0.00809,0.469049988
469.049988,2.329735,0.007755,0.470641174
470.641174,2.327935,0.007427,0.47223233
472.23233,2.326165,0.007108,0.473823486
473.823486,2.324424,0.006797,0.475414642
475.414642,2.32271,0.006495,0.477005768
477.005768,2.321025,0.0062,0.478596924
478.596924,2.319366,0.005914,0.48018808
480.18808,2.317732,0.005636,0.481779205
481.779205,2.316124,0.005367,0.4833703
483.3703,2.314541,0.005105,0.484961487
484.961487,2.312982,0.004851,0.486552582
486.552582,2.311446,0.004606,0.488143707
488.143707,2.309933,0.004368,0.489734802
489.734802,2.308443,0.004138,0.491325867
491.325867,2.306975,0.003917,0.492916992
492.916992,2.305528,0.003702,0.494508057
494.508057,2.304102,0.003496,0.496099182
496.099182,2.302697,0.003298,0.497690247
497.690247,2.301312,0.003107,0.499281311
499.281311,2.299948,0.002923,0.500872314
500.872314,2.298603,0.002748,0.502463379
502.463379,2.297277,0.002579,0.504054382
504.054382,2.295971,0.002419,0.505645416
505.645416,2.294684,0.002265,0.50723642
507.23642,2.293415,0.002119,0.508827454
508.827454,2.292165,0.00198,0.510418457
510.418457,2.290934,0.001848,0.512009399
512.009399,2.289721,0.001723,0.513600403
513.600403,2.288526,0.001605,0.515191345
515.191345,2.287349,0.001492,0.516782288
516.782288,2.28619,0.001386,0.51837323
518.37323,2.285048,0.001285,0.519964172
519.964172,2.283923,0.00119,0.521555054
521.555054,2.282815,0.0011,0.523145935
523.145935,2.281724,0.001015,0.524736877
524.736877,2.28065,0.000935,0.526327759
526.327759,2.279591,0.00086,0.527918579
527.918579,2.278549,0.000789,0.529509399
