nm,n,k,wl
192.414993,1.761061,0.841179,0.192414993
194.001999,1.762005,0.842918,0.194001999
195.589081,1.763044,0.844725,0.195589081
197.176178,1.764278,0.846691,0.197176178
198.763351,1.765795,0.848895,0.198763351
200.350571,1.767677,0.851409,0.200350571
201.937836,1.769996,0.854296,0.201937836
203.525162,1.772803,0.857598,0.203525162
205.112518,1.776104,0.861305,0.205112518
206.699921,1.779896,0.865399,0.206699921
208.287399,1.784173,0.86986,0.208287399
209.874908,1.78893,0.87467,0.209874908
211.462448,1.794157,0.879811,0.211462448
213.050049,1.799849,0.885264,0.213050049
214.637695,1.806008,0.890991,0.214637695
216.225388,1.812648,0.896938,0.216225388
217.813141,1.819779,0.903053,0.217813141
219.400925,1.827408,0.909292,0.219400925
220.98877,1.83554,0.915611,0.22098877
222.57663,1.844175,0.921973,0.22257663
224.164581,1.853314,0.928343,0.224164581
225.752533,1.86295,0.934679,0.225752533
227.340546,1.873073,0.940931,0.227340546
228.928619,1.883668,0.947051,0.228928619
230.516693,1.894721,0.952995,0.230516693
232.104858,1.906219,0.958728,0.232104858
233.693039,1.918148,0.964216,0.233693039
235.281281,1.930492,0.96943,0.235281281
236.869537,1.943238,0.974347,0.236869537
238.457855,1.956382,0.978947,0.238457855
240.046219,1.969944,0.983215,0.240046219
241.634598,1.98394,0.987141,0.241634598
243.223053,1.998388,0.990717,0.243223053
244.811523,2.013299,0.993937,0.244811523
246.400055,2.028683,0.996798,0.246400055
247.988602,2.044547,0.999298,0.247988602
249.577194,2.060898,1.001437,0.249577194
251.165848,2.077738,1.003219,0.251165848
252.754517,2.095052,1.004612,0.252754517
254.343231,2.112786,1.005506,0.254343231
255.932007,2.130888,1.005791,0.255932007
257.520813,2.149307,1.00537,0.257520813
259.10965,2.168003,1.004157,0.25910965
260.698517,2.186938,1.002075,0.260698517
262.287415,2.206081,0.999059,0.262287415
263.876373,2.225407,0.995052,0.263876373
265.465363,2.244892,0.990004,0.265465363
267.054382,2.264522,0.983873,0.267054382
268.643433,2.284268,0.976634,0.268643433
270.232513,2.304041,0.968322,0.270232513
271.821655,2.32374,0.958983,0.271821655
273.410828,2.343275,0.948662,0.273410828
275.000031,2.362565,0.937396,0.275000031
276.589264,2.381537,0.92522,0.276589264
278.178528,2.400127,0.912165,0.278178528
279.767822,2.418277,0.898257,0.279767822
281.357147,2.435937,0.88352,0.281357147
282.946533,2.45306,0.867973,0.282946533
284.53595,2.469608,0.851635,0.28453595
286.125366,2.485545,0.834521,0.286125366
287.714844,2.500822,0.816668,0.287714844
289.304352,2.51536,0.798152,0.289304352
290.89386,2.529084,0.779044,0.29089386
292.483459,2.541925,0.759406,0.292483459
294.073029,2.553816,0.739293,0.294073029
295.662659,2.564698,0.718749,0.295662659
297.252319,2.574512,0.697816,0.297252319
298.84201,2.583205,0.676528,0.29884201
300.431732,2.590726,0.654913,0.300431732
302.021484,2.597028,0.632994,0.302021484
303.611267,2.602067,0.610789,0.303611267
305.20105,2.605799,0.588313,0.30520105
306.790894,2.608185,0.565574,0.306790894
