nm,n,k,wl
192.414993,1.96357,0.43999,0.192414993
194.001999,1.951821,0.446927,0.194001999
195.589081,1.942139,0.454334,0.195589081
197.176178,1.933458,0.461861,0.197176178
198.763351,1.92821,0.468328,0.198763351
200.350571,1.924643,0.47384,0.200350571
201.937836,1.923956,0.478014,0.201937836
203.525162,1.92324,0.481576,0.203525162
205.112518,1.923285,0.484367,0.205112518
206.699921,1.923331,0.486616,0.206699921
208.287399,1.924025,0.488203,0.208287399
209.874908,1.925442,0.489148,0.209874908
211.462448,1.925275,0.490077,0.211462448
213.050049,1.92799,0.489896,0.213050049
214.637695,1.929309,0.489729,0.214637695
216.225388,1.931156,0.489125,0.216225388
217.813141,1.933316,0.488175,0.217813141
219.400925,1.935397,0.487011,0.219400925
220.98877,1.937752,0.485575,0.22098877
222.57663,1.939923,0.484014,0.22257663
224.164581,1.941546,0.482444,0.224164581
225.752533,1.943988,0.480552,0.225752533
227.340546,1.945411,0.478818,0.227340546
228.928619,1.947097,0.476946,0.228928619
230.516693,1.948251,0.475152,0.230516693
232.104858,1.949754,0.473238,0.232104858
233.693039,1.951149,0.471334,0.233693039
235.281281,1.953476,0.469206,0.235281281
236.869537,1.954937,0.467301,0.236869537
238.457855,1.9563,0.465447,0.238457855
240.046219,1.957769,0.463606,0.240046219
241.634598,1.959313,0.461797,0.241634598
243.223053,1.96058,0.460112,0.243223053
244.811523,1.961534,0.458567,0.244811523
246.400055,1.962575,0.457074,0.246400055
247.988602,1.964337,0.455494,0.247988602
249.577194,1.964798,0.4543,0.249577194
251.165848,1.965733,0.453086,0.251165848
252.754517,1.967757,0.451716,0.252754517
254.343231,1.968282,0.450786,0.254343231
255.932007,1.970151,0.449648,0.255932007
257.520813,1.970692,0.448913,0.257520813
259.10965,1.972592,0.447972,0.25910965
260.698517,1.973869,0.447276,0.260698517
262.287415,1.975727,0.446552,0.262287415
263.876373,1.976631,0.446147,0.263876373
265.465363,1.978156,0.445705,0.265465363
267.054382,1.979327,0.445445,0.267054382
