nm,n,k,wl
325.871063,2.583602,0.274078,0.325871063
327.461243,2.577413,0.271966,0.327461243
329.051453,2.571381,0.269891,0.329051453
330.641693,2.5655,0.267852,0.330641693
332.231964,2.559768,0.265847,0.332231964
333.822235,2.554178,0.263876,0.333822235
335.412537,2.548728,0.261939,0.335412537
337.002869,2.543413,0.260033,0.337002869
338.593231,2.538229,0.258159,0.338593231
340.183594,2.533174,0.256316,0.340183594
341.773987,2.528241,0.254503,0.341773987
343.36441,2.523429,0.252719,0.34336441
344.954865,2.518734,0.250965,0.344954865
346.545319,2.514153,0.249238,0.346545319
348.135803,2.509683,0.247538,0.348135803
349.726288,2.50532,0.245866,0.349726288
351.316833,2.501061,0.24422,0.351316833
352.907349,2.496904,0.242599,0.352907349
354.497894,2.492845,0.241004,0.354497894
356.088501,2.488883,0.239433,0.356088501
357.679108,2.485014,0.237887,0.357679108
359.269714,2.481236,0.236364,0.359269714
360.860352,2.477546,0.234863,0.360860352
362.450989,2.473943,0.233386,0.362450989
364.041687,2.470423,0.23193,0.364041687
365.632385,2.466985,0.230496,0.365632385
367.223083,2.463625,0.229084,0.367223083
368.813782,2.460344,0.227692,0.368813782
370.404541,2.457137,0.22632,0.370404541
371.9953,2.454004,0.224968,0.3719953
373.58606,2.450941,0.223636,0.37358606
375.176849,2.447948,0.222322,0.375176849
376.767639,2.445023,0.221028,0.376767639
378.358459,2.442164,0.219751,0.378358459
379.94931,2.439369,0.218493,0.37994931
381.540161,2.436636,0.217252,0.381540161
383.131042,2.433964,0.216029,0.383131042
384.721893,2.431351,0.214822,0.384721893
386.312805,2.428797,0.213632,0.386312805
387.903687,2.426298,0.212459,0.387903687
389.494598,2.423855,0.211301,0.389494598
391.08551,2.421465,0.210159,0.39108551
392.676453,2.419127,0.209032,0.392676453
394.267426,2.416841,0.20792,0.394267426
395.858398,2.414604,0.206823,0.395858398
397.449371,2.412415,0.205741,0.397449371
399.040344,2.410273,0.204672,0.399040344
400.631348,2.408178,0.203618,0.400631348
402.222351,2.406127,0.202578,0.402222351
403.813385,2.404121,0.20155,0.403813385
405.404388,2.402157,0.200536,0.405404388
406.995422,2.400234,0.199535,0.406995422
408.586487,2.398353,0.198547,0.408586487
410.177551,2.396511,0.197571,0.410177551
411.768616,2.394708,0.196608,0.411768616
