nm,n,k,wl
192.414993,1.751904,1.864363,0.192414993
194.001999,1.802409,1.879019,0.194001999
195.589081,1.858993,1.873856,0.195589081
197.176178,1.903627,1.85306,0.197176178
198.763351,1.935436,1.832329,0.198763351
200.350571,1.964034,1.815011,0.200350571
201.937836,1.99124,1.796122,0.201937836
203.525162,2.013693,1.775172,0.203525162
205.112518,2.030707,1.755162,0.205112518
206.699921,2.043732,1.737813,0.206699921
208.287399,2.054249,1.723632,0.208287399
209.874908,2.063751,1.712528,0.209874908
211.462448,2.072927,1.703342,0.211462448
213.050049,2.081073,1.695479,0.213050049
214.637695,2.087657,1.690035,0.214637695
216.225388,2.093962,1.688103,0.216225388
217.813141,2.101914,1.688906,0.217813141
219.400925,2.111463,1.690585,0.219400925
220.98877,2.121105,1.692637,0.22098877
222.57663,2.13026,1.696587,0.22257663
224.164581,2.140259,1.703469,0.224164581
225.752533,2.152881,1.712481,0.225752533
227.340546,2.168183,1.72198,0.227340546
228.928619,2.185211,1.731206,0.228928619
230.516693,2.203249,1.740641,0.230516693
232.104858,2.222488,1.750786,0.232104858
233.693039,2.243397,1.761823,0.233693039
235.281281,2.266543,1.773684,0.235281281
236.869537,2.292675,1.786081,0.236869537
238.457855,2.322641,1.797867,0.238457855
240.046219,2.35605,1.807414,0.240046219
241.634598,2.391743,1.813759,0.241634598
243.223053,2.428357,1.816894,0.243223053
244.811523,2.465205,1.817297,0.244811523
246.400055,2.501856,1.815329,0.246400055
247.988602,2.537967,1.811473,0.247988602
249.577194,2.573536,1.80625,0.249577194
251.165848,2.608783,1.799992,0.251165848
252.754517,2.644053,1.792668,0.252754517
254.343231,2.679281,1.783961,0.254343231
255.932007,2.714068,1.773742,0.255932007
257.520813,2.747709,1.76233,0.257520813
259.10965,2.78004,1.750811,0.25910965
260.698517,2.811645,1.740047,0.260698517
262.287415,2.84346,1.730552,0.262287415
263.876373,2.876564,1.722285,0.263876373
265.465363,2.911784,1.714955,0.265465363
267.054382,2.949964,1.708246,0.267054382
268.643433,2.992147,1.701653,0.268643433
270.232513,3.039424,1.694316,0.270232513
271.821655,3.093123,1.685234,0.271821655
273.410828,3.155749,1.672863,0.273410828
275.000031,3.230997,1.650898,0.275000031
276.589264,3.315268,1.609555,0.276589264
278.178528,3.399874,1.542348,0.278178528
279.767822,3.471388,1.445937,0.279767822
281.357147,3.512406,1.329779,0.281357147
282.946533,3.519098,1.211508,0.282946533
284.53595,3.495265,1.105251,0.28453595
286.125366,3.450749,1.023204,0.286125366
287.714844,3.403084,0.967592,0.287714844
289.304352,3.361708,0.929877,0.289304352
290.89386,3.329529,0.902383,0.29089386
292.483459,3.306047,0.878437,0.292483459
294.073029,3.287157,0.853981,0.294073029
295.662659,3.269681,0.829533,0.295662659
297.252319,3.252661,0.805912,0.297252319
298.84201,3.235832,0.783719,0.29884201
300.431732,3.219418,0.763375,0.300431732
302.021484,3.203886,0.744747,0.302021484
303.611267,3.189368,0.727457,0.303611267
305.20105,3.17584,0.711171,0.30520105
306.790894,3.163173,0.695588,0.306790894
308.380768,3.1511,0.680507,0.308380768
309.970642,3.139389,0.665967,0.309970642
311.560577,3.127959,0.652037,0.311560577
313.150543,3.116791,0.638768,0.313150543
314.740509,3.105912,0.626202,0.314740509
316.330505,3.095416,0.61433,0.316330505
317.920532,3.085367,0.603047,0.317920532
319.51059,3.075764,0.592243,0.31951059
321.100677,3.066574,0.581816,0.321100677
322.690796,3.057735,0.571678,0.322690796
324.280914,3.049133,0.56177,0.324280914
325.871063,3.040663,0.552136,0.325871063
327.461243,3.032293,0.542836,0.327461243
329.051453,3.024021,0.53392,0.329051453
330.641693,3.015874,0.525433,0.330641693
332.231964,3.007913,0.517407,0.332231964
333.822235,3.000232,0.509814,0.333822235
335.412537,2.99287,0.502569,0.335412537
337.002869,2.985832,0.495598,0.337002869
338.593231,2.9791,0.488833,0.338593231
340.183594,2.972635,0.48221,0.340183594
341.773987,2.966365,0.475684,0.341773987
343.36441,2.96021,0.469272,0.34336441
344.954865,2.954136,0.463015,0.344954865
346.545319,2.948132,0.45695,0.346545319
348.135803,2.942204,0.451109,0.348135803
349.726288,2.936371,0.44552,0.349726288
351.316833,2.930674,0.440203,0.351316833
352.907349,2.925164,0.435137,0.352907349
354.497894,2.919863,0.430279,0.354497894
356.088501,2.914774,0.425593,0.356088501
357.679108,2.90989,0.421043,0.357679108
359.269714,2.905198,0.4166,0.359269714
360.860352,2.900667,0.412233,0.360860352
362.450989,2.89625,0.407939,0.362450989
364.041687,2.891919,0.403747,0.364041687
365.632385,2.887669,0.399683,0.365632385
367.223083,2.883506,0.395773,0.367223083
368.813782,2.879446,0.392038,0.368813782
370.404541,2.875517,0.388498,0.370404541
371.9953,2.871766,0.385166,0.3719953
373.58606,2.868264,0.382015,0.37358606
375.176849,2.865041,0.37898,0.375176849
376.767639,2.862103,0.376003,0.376767639
378.358459,2.859443,0.373029,0.378358459
379.94931,2.857038,0.370008,0.37994931
381.540161,2.854858,0.366893,0.381540161
383.131042,2.852852,0.363641,0.383131042
384.721893,2.850949,0.36024,0.384721893
386.312805,2.849093,0.356712,0.386312805
387.903687,2.847257,0.353085,0.387903687
389.494598,2.845418,0.34938,0.389494598
391.08551,2.843563,0.345618,0.39108551
392.676453,2.841683,0.34182,0.392676453
394.267426,2.839771,0.338004,0.394267426
395.858398,2.837824,0.334187,0.395858398
397.449371,2.835842,0.330385,0.397449371
399.040344,2.833826,0.326613,0.399040344
400.631348,2.831779,0.322886,0.400631348
402.222351,2.829707,0.319215,0.402222351
403.813385,2.827618,0.315614,0.403813385
405.404388,2.825522,0.312093,0.405404388
406.995422,2.823431,0.308664,0.406995422
408.586487,2.821365,0.305336,0.408586487
410.177551,2.81935,0.302106,0.410177551
411.768616,2.817403,0.298961,0.411768616
413.35968,2.815533,0.295887,0.41335968
414.950745,2.813747,0.292873,0.414950745
416.54184,2.812049,0.289906,0.41654184
418.132904,2.810441,0.286976,0.418132904
419.72403,2.808926,0.284072,0.41972403
421.315125,2.807503,0.281186,0.421315125
422.90625,2.806174,0.278306,0.42290625
424.497375,2.804938,0.275423,0.424497375
426.088531,2.803793,0.272525,0.426088531
427.679626,2.802735,0.269602,0.427679626
429.270813,2.801761,0.266644,0.429270813
430.861908,2.800865,0.263642,0.430861908
432.453064,2.800041,0.260588,0.432453064
434.04425,2.799282,0.257472,0.43404425
435.635345,2.798581,0.254286,0.435635345
437.226501,2.797929,0.251025,0.437226501
438.817688,2.797315,0.24768,0.438817688
440.408844,2.796732,0.244248,0.440408844
442.000061,2.796168,0.240723,0.442000061
443.591217,2.795614,0.237102,0.443591217
445.182373,2.79506,0.233381,0.445182373
446.773529,2.794494,0.229555,0.446773529
448.364685,2.793903,0.225621,0.448364685
449.955902,2.793273,0.221575,0.449955902
451.547058,2.79259,0.217416,0.451547058
453.138245,2.791831,0.21314,0.453138245
454.729431,2.790967,0.208754,0.454729431
456.320618,2.789979,0.204279,0.456320618
457.911774,2.788855,0.199735,0.457911774
459.502991,2.787587,0.195142,0.459502991
461.094147,2.78617,0.190516,0.461094147
462.685303,2.784604,0.185875,0.462685303
464.276459,2.782887,0.181236,0.464276459
465.867676,2.781021,0.176613,0.465867676
467.458832,2.779008,0.172022,0.467458832
469.049988,2.776855,0.167478,0.469049988
470.641174,2.774569,0.162992,0.470641174
472.23233,2.772159,0.158575,0.47223233
473.823486,2.769633,0.154232,0.473823486
475.414642,2.766999,0.149969,0.475414642
477.005768,2.764262,0.145791,0.477005768
478.596924,2.761427,0.141703,0.478596924
480.18808,2.758501,0.13771,0.48018808
481.779205,2.75549,0.133817,0.481779205
483.3703,2.7524,0.130029,0.4833703
484.961487,2.749237,0.126349,0.484961487
486.552582,2.746009,0.122782,0.486552582
488.143707,2.742722,0.119333,0.488143707
489.734802,2.739388,0.116004,0.489734802
491.325867,2.736015,0.112796,0.491325867
492.916992,2.73261,0.109706,0.492916992
494.508057,2.729182,0.106732,0.494508057
496.099182,2.725734,0.103874,0.496099182
497.690247,2.722273,0.10113,0.497690247
499.281311,2.718803,0.098499,0.499281311
500.872314,2.715329,0.095979,0.500872314
502.463379,2.711856,0.093569,0.502463379
504.054382,2.708388,0.091268,0.504054382
505.645416,2.704929,0.089074,0.505645416
507.23642,2.701486,0.086986,0.50723642
508.827454,2.698063,0.085004,0.508827454
510.418457,2.694666,0.083124,0.510418457
512.009399,2.691302,0.081342,0.512009399
513.600403,2.687974,0.079652,0.513600403
515.191345,2.684686,0.078051,0.515191345
516.782288,2.68144,0.076533,0.516782288
518.37323,2.678237,0.075095,0.51837323
519.964172,2.675081,0.073732,0.519964172
521.555054,2.671972,0.072439,0.521555054
523.145935,2.668911,0.071213,0.523145935
524.736877,2.665899,0.07005,0.524736877
526.327759,2.662937,0.068946,0.526327759
527.918579,2.660025,0.067898,0.527918579
529.509399,2.657163,0.066901,0.529509399
531.10022,2.654351,0.065953,0.53110022
532.69104,2.651587,0.065049,0.53269104
534.28186,2.648873,0.064189,0.53428186
535.872681,2.646206,0.063369,0.535872681
537.463379,2.643587,0.062588,0.537463379
539.054138,2.641015,0.061841,0.539054138
540.644897,2.63849,0.061129,0.540644897
542.235596,2.63601,0.060447,0.542235596
543.826294,2.633576,0.059794,0.543826294
545.416992,2.631187,0.059169,0.545416992
547.00769,2.628842,0.058568,0.54700769
548.598267,2.626539,0.05799,0.548598267
550.188904,2.624279,0.057433,0.550188904
551.779541,2.62206,0.056896,0.551779541
553.370117,2.61988,0.056375,0.553370117
554.960693,2.617738,0.055871,0.554960693
556.55127,2.615632,0.055381,0.55655127
558.141785,2.61356,0.054905,0.558141785
559.7323,2.611522,0.054444,0.5597323
561.322815,2.609516,0.053995,0.561322815
562.913269,2.607542,0.053559,0.562913269
564.503723,2.605599,0.053135,0.564503723
566.094116,2.603685,0.052723,0.566094116
567.68457,2.601801,0.052323,0.56768457
569.274963,2.599945,0.051933,0.569274963
570.865295,2.598116,0.051554,0.570865295
572.455688,2.596315,0.051184,0.572455688
574.045959,2.594541,0.050825,0.574045959
575.636292,2.592792,0.050474,0.575636292
577.226501,2.591068,0.050132,0.577226501
578.816772,2.589369,0.049799,0.578816772
580.406982,2.587695,0.049474,0.580406982
581.997192,2.586043,0.049156,0.581997192
583.587341,2.584414,0.048846,0.583587341
585.177551,2.582808,0.048544,0.585177551
586.767639,2.581223,0.048248,0.586767639
588.357788,2.579659,0.04796,0.588357788
589.947815,2.578117,0.047679,0.589947815
591.537842,2.576594,0.047404,0.591537842
593.127869,2.575092,0.047136,0.593127869
594.717896,2.57361,0.046874,0.594717896
596.307861,2.572146,0.046619,0.596307861
597.897766,2.570702,0.04637,0.597897766
599.487671,2.569277,0.046127,0.599487671
601.077576,2.56787,0.045889,0.601077576
602.667419,2.566482,0.045658,0.602667419
604.257202,2.565111,0.045431,0.604257202
605.847046,2.563758,0.045211,0.605847046
607.436829,2.562422,0.044996,0.607436829
609.02655,2.561104,0.044785,0.60902655
610.616272,2.559803,0.04458,0.610616272
612.205933,2.558519,0.04438,0.612205933
613.795532,2.557251,0.044184,0.613795532
615.385193,2.556001,0.043992,0.615385193
